Orthogroup	NC_005946	AY521625
OG0000000	NC_005946.1_00010 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	NC_005946.1_00053 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	NC_005946.1_00057 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	NC_005946.1_00095 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	NC_005946.1_00092 hypothetical protein	AY521625.1_00142 AY521625.1 - hypothetical protein translation
OG0000005	NC_005946.1_00038 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000006	NC_005946.1_00091 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000007	NC_005946.1_00060 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000008	NC_005946.1_00083 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000009	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	NC_005946.1_00022 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	NC_005946.1_00011 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	NC_005946.1_00094 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	NC_005946.1_00002 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	NC_005946.1_00023 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	NC_005946.1_00016 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	NC_005946.1_00021 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	NC_005946.1_00067 hypothetical protein	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000018	NC_005946.1_00087 hypothetical protein	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000019	NC_005946.1_00042 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000020	NC_005946.1_00082 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000021	NC_005946.1_00014 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000022	NC_005946.1_00028 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000024	NC_005946.1_00089 hypothetical protein	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000026	NC_005946.1_00049 hypothetical protein	AY521625.1_00022 AY521625.1 - hypothetical protein translation
OG0000027	NC_005946.1_00086 hypothetical protein	AY521625.1_00060 AY521625.1 - hypothetical protein translation
OG0000125	NC_005946.1_00020 hypothetical protein	AY521625.1_00036 AY521625.1 - hypothetical protein translation
OG0000132	NC_005946.1_00001 hypothetical protein	AY521625.1_00098 AY521625.1 - hypothetical protein translation
OG0000135	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000142	NC_005946.1_00054 hypothetical protein	AY521625.1_00133 AY521625.1 - hypothetical protein translation
OG0000148	NC_005946.1_00063 Deoxyuridine	AY521625.1_00044 AY521625.1 - Deoxyuridine
OG0000149	NC_005946.1_00052 hypothetical protein	AY521625.1_00002 AY521625.1 - hypothetical protein translation
OG0000151	NC_005946.1_00044 hypothetical protein	AY521625.1_00018 AY521625.1 - hypothetical protein translation
OG0000154	NC_005946.1_00075 hypothetical protein	AY521625.1_00126 AY521625.1 - hypothetical protein translation
OG0000167	NC_005946.1_00004 hypothetical protein	AY521625.1_00014 AY521625.1 - hypothetical protein translation
OG0000173	NC_005946.1_00026 hypothetical protein	AY521625.1_00005 AY521625.1 - hypothetical protein translation
OG0000174	NC_005946.1_00033 hypothetical protein	AY521625.1_00011 AY521625.1 - hypothetical protein translation
OG0000175	NC_005946.1_00029 hypothetical protein	AY521625.1_00140 AY521625.1 - hypothetical protein translation
OG0000199	NC_005946.1_00062 hypothetical protein	AY521625.1_00066 AY521625.1 - hypothetical protein translation
OG0000224	NC_005946.1_00051 hypothetical protein	AY521625.1_00023 AY521625.1 - hypothetical protein translation
OG0000226	NC_005946.1_00088 hypothetical protein	AY521625.1_00061 AY521625.1 - hypothetical protein translation
OG0000227	NC_005946.1_00096 hypothetical protein	AY521625.1_00094 AY521625.1 - hypothetical protein translation
OG0000228	NC_005946.1_00015 hypothetical protein	AY521625.1_00116 AY521625.1 - hypothetical protein translation
OG0000229	NC_005946.1_00073 hypothetical protein	AY521625.1_00128 AY521625.1 - hypothetical protein translation
OG0000266	NC_005946.1_00034 hypothetical protein	AY521625.1_00010 AY521625.1 - hypothetical protein translation
OG0000267	NC_005946.1_00064 hypothetical protein	AY521625.1_00043 AY521625.1 - hypothetical protein translation
OG0000340	NC_005946.1_00035 hypothetical protein	AY521625.1_00008 AY521625.1 - hypothetical protein translation
OG0000341	NC_005946.1_00005 hypothetical protein	AY521625.1_00013 AY521625.1 - hypothetical protein translation
OG0000342	NC_005946.1_00003 hypothetical protein	AY521625.1_00015 AY521625.1 - hypothetical protein translation
OG0000343	NC_005946.1_00047 hypothetical protein	AY521625.1_00020 AY521625.1 - hypothetical protein translation
OG0000344	NC_005946.1_00018 hypothetical protein	AY521625.1_00039 AY521625.1 - hypothetical protein translation
OG0000345	NC_005946.1_00012 hypothetical protein	AY521625.1_00052 AY521625.1 - hypothetical protein translation
OG0000346	NC_005946.1_00090 hypothetical protein	AY521625.1_00063 AY521625.1 - hypothetical protein translation
OG0000348	NC_005946.1_00081 hypothetical protein	AY521625.1_00072 AY521625.1 - hypothetical protein translation
OG0000349	NC_005946.1_00084 hypothetical protein	AY521625.1_00075 AY521625.1 - hypothetical protein translation
OG0000350	NC_005946.1_00013 hypothetical protein	AY521625.1_00090 AY521625.1 - hypothetical protein translation
OG0000351	NC_005946.1_00079 hypothetical protein	AY521625.1_00102 AY521625.1 - hypothetical protein translation
OG0000352	NC_005946.1_00080 hypothetical protein	AY521625.1_00104 AY521625.1 - hypothetical protein translation
