Orthogroup	MT521409	OQ475017
OG0000000	OM037668.1_00050 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000001	OM037668.1_00031 hypothetical protein	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation
OG0000002	OM037668.1_00013 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000003	OM037668.1_00057 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000004	OM037668.1_00056 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000005	OM037668.1_00005 hypothetical protein	OQ475017.1_00014 OQ475017.1 - hypothetical protein translation
OG0000006	OM037668.1_00047 hypothetical protein	OQ475017.1_00018 OQ475017.1 - hypothetical protein translation
OG0000007	OM037668.1_00046 hypothetical protein	OQ475017.1_00019 OQ475017.1 - hypothetical protein translation
OG0000008	OM037668.1_00045 hypothetical protein	OQ475017.1_00020 OQ475017.1 - hypothetical protein translation
OG0000009	OM037668.1_00041 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000010	OM037668.1_00040 hypothetical protein	OQ475017.1_00023 OQ475017.1 - hypothetical protein translation
OG0000011	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000012	SDDV_ORF038 Flap endonuclease	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000013	OM037668.1_00035 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000014	OM037668.1_00123 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000015	OM037668.1_00124 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000016	OM037668.1_00113 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000017	OM037668.1_00110 hypothetical protein	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation
OG0000018	OM037668.1_00106 hypothetical protein	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation
OG0000019	OM037668.1_00105 hypothetical protein	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation
OG0000020	OM037668.1_00100 hypothetical protein	OQ475017.1_00054 OQ475017.1 - hypothetical protein translation
OG0000021	OM037668.1_00099 hypothetical protein	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation
OG0000022	OM037668.1_00098 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000023	OM037668.1_00097 hypothetical protein	OQ475017.1_00057 OQ475017.1 - hypothetical protein translation
OG0000024	OM037668.1_00096 hypothetical protein	OQ475017.1_00059 OQ475017.1 - hypothetical protein translation
OG0000025	OM037668.1_00009 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000026	OM037668.1_00024 hypothetical protein	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation
OG0000027	OM037668.1_00020 hypothetical protein	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation
OG0000028	OM037668.1_00019 hypothetical protein	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation
OG0000029	OM037668.1_00018 hypothetical protein	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation
OG0000030	OM037668.1_00130 hypothetical protein	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation
OG0000031	OM037668.1_00090 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000032	OM037668.1_00089 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000033	OM037668.1_00087 hypothetical protein	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation
OG0000034	OM037668.1_00086 hypothetical protein	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation
OG0000035	OM037668.1_00084 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000036	OM037668.1_00081 hypothetical protein	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation
OG0000037	OM037668.1_00080 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000038	OM037668.1_00032 hypothetical protein	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation
OG0000039	OM037668.1_00033 hypothetical protein	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation
OG0000040	OM037668.1_00073 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000041	OM037668.1_00074 hypothetical protein	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation
OG0000042	OM037668.1_00075 hypothetical protein	OQ475017.1_00109 OQ475017.1 - hypothetical protein translation
OG0000043	OM037668.1_00076 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000044	OM037668.1_00077 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
