Orthogroup	Chlor_AMIV_KF938901.1	Rana_SGIV_AY521625.1
OG0000000	Chlor_AMIV_KF938901.1_00126	Rana_SGIV_AY521625.1_00091
OG0000001	Chlor_AMIV_KF938901.1_00044	Rana_SGIV_AY521625.1_00064
OG0000002	Chlor_AMIV_KF938901.1_00080	Rana_SGIV_AY521625.1_00077
OG0000003	Chlor_AMIV_KF938901.1_00005	Rana_SGIV_AY521625.1_00130
OG0000004	Chlor_AMIV_KF938901.1_00043	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	Chlor_AMIV_KF938901.1_00053	Rana_SGIV_AY521625.1_00016
OG0000006	Chlor_AMIV_KF938901.1_00067	Rana_SGIV_AY521625.1_00085
OG0000007	Chlor_AMIV_KF938901.1_00072	Rana_SGIV_AY521625.1_00051
OG0000008	Chlor_AMIV_KF938901.1_00114	Rana_SGIV_AY521625.1_00142
OG0000009	Chlor_AMIV_KF938901.1_00125	Rana_SGIV_AY521625.1_00100
OG0000011	Chlor_AMIV_KF938901.1_00012	Rana_SGIV_AY521625.1_00086
OG0000012	Chlor_AMIV_KF938901.1_00023	Rana_SGIV_AY521625.1_00065
OG0000013	Chlor_AMIV_KF938901.1_00025	Rana_SGIV_AY521625.1_00047
OG0000014	Chlor_AMIV_KF938901.1_00046	Rana_SGIV_AY521625.1_00073
OG0000015	Chlor_AMIV_KF938901.1_00047	Rana_SGIV_AY521625.1_00074
OG0000016	Chlor_AMIV_KF938901.1_00054	Rana_SGIV_AY521625.1_00110
OG0000017	Chlor_AMIV_KF938901.1_00060	Rana_SGIV_AY521625.1_00048
OG0000018	Chlor_AMIV_KF938901.1_00074	Rana_SGIV_AY521625.1_00115
OG0000019	Chlor_AMIV_KF938901.1_00092	Rana_SGIV_AY521625.1_00053
OG0000020	Chlor_AMIV_KF938901.1_00095	Rana_SGIV_AY521625.1_00035
OG0000021	Chlor_AMIV_KF938901.1_00123	Rana_SGIV_AY521625.1_00059
OG0000022	Chlor_AMIV_KF938901.1_00124	Rana_SGIV_AY521625.1_00054
OG0000023	Chlor_AMIV_KF938901.1_00031	Rana_SGIV_AY521625.1_00062
OG0000024	Chlor_AMIV_KF938901.1_00094	Rana_SGIV_AY521625.1_00042
OG0000133	Chlor_AMIV_KF938901.1_00007	Rana_SGIV_AY521625.1_00102
OG0000134	Chlor_AMIV_KF938901.1_00086	Rana_SGIV_AY521625.1_00098
OG0000137	Chlor_AMIV_KF938901.1_00048	Rana_SGIV_AY521625.1_00056
OG0000148	Chlor_AMIV_KF938901.1_00069	Rana_SGIV_AY521625.1_00133
OG0000152	Chlor_AMIV_KF938901.1_00027	Rana_SGIV_AY521625.1_00018
OG0000156	Chlor_AMIV_KF938901.1_00118	Rana_SGIV_AY521625.1_00044
OG0000165	Chlor_AMIV_KF938901.1_00009	Rana_SGIV_AY521625.1_00140
OG0000166	Chlor_AMIV_KF938901.1_00017	Rana_SGIV_AY521625.1_00005
OG0000168	Chlor_AMIV_KF938901.1_00101	Rana_SGIV_AY521625.1_00014
