Orthogroup	Chlor_AMIV_KF938901.1	MCV_ML1_SDDV_NC_027778.1
OG0000000	Chlor_AMIV_KF938901.1_00126	MCV_ML1_SDDV_NC_027778.1_00083
OG0000001	Chlor_AMIV_KF938901.1_00044	MCV_ML1_SDDV_NC_027778.1_00061
OG0000002	Chlor_AMIV_KF938901.1_00080	MCV_ML1_SDDV_NC_027778.1_00062
OG0000003	Chlor_AMIV_KF938901.1_00005	MCV_ML1_SDDV_NC_027778.1_00068
OG0000004	Chlor_AMIV_KF938901.1_00043	MCV_ML1_SDDV_NC_027778.1_00040
OG0000005	Chlor_AMIV_KF938901.1_00053	MCV_ML1_SDDV_NC_027778.1_00032
OG0000006	Chlor_AMIV_KF938901.1_00067	MCV_ML1_SDDV_NC_027778.1_00080
OG0000007	Chlor_AMIV_KF938901.1_00072	MCV_ML1_SDDV_NC_027778.1_00098
OG0000008	Chlor_AMIV_KF938901.1_00114	MCV_ML1_SDDV_NC_027778.1_00039
OG0000009	Chlor_AMIV_KF938901.1_00125	MCV_ML1_SDDV_NC_027778.1_00036
OG0000011	Chlor_AMIV_KF938901.1_00012	MCV_ML1_SDDV_NC_027778.1_00026
OG0000012	Chlor_AMIV_KF938901.1_00023	MCV_ML1_SDDV_NC_027778.1_00129
OG0000013	Chlor_AMIV_KF938901.1_00025	MCV_ML1_SDDV_NC_027778.1_00043
OG0000014	Chlor_AMIV_KF938901.1_00046	MCV_ML1_SDDV_NC_027778.1_00027
OG0000015	Chlor_AMIV_KF938901.1_00047	MCV_ML1_SDDV_NC_027778.1_00133
OG0000016	Chlor_AMIV_KF938901.1_00054	MCV_ML1_SDDV_NC_027778.1_00077
OG0000017	Chlor_AMIV_KF938901.1_00060	MCV_ML1_SDDV_NC_027778.1_00018
OG0000018	Chlor_AMIV_KF938901.1_00074	MCV_ML1_SDDV_NC_027778.1_00038
OG0000019	Chlor_AMIV_KF938901.1_00092	MCV_ML1_SDDV_NC_027778.1_00111
OG0000020	Chlor_AMIV_KF938901.1_00095	MCV_ML1_SDDV_NC_027778.1_00116
OG0000021	Chlor_AMIV_KF938901.1_00123	MCV_ML1_SDDV_NC_027778.1_00132
OG0000022	Chlor_AMIV_KF938901.1_00124	MCV_ML1_SDDV_NC_027778.1_00106
OG0000023	Chlor_AMIV_KF938901.1_00031	MCV_ML1_SDDV_NC_027778.1_00003
OG0000024	Chlor_AMIV_KF938901.1_00094	MCV_ML1_SDDV_NC_027778.1_00054
OG0000025	Chlor_AMIV_KF938901.1_00093	MCV_ML1_SDDV_NC_027778.1_00094, MCV_ML1_SDDV_NC_027778.1_00095
OG0000139	Chlor_AMIV_KF938901.1_00108	MCV_ML1_SDDV_NC_027778.1_00049
