Orthogroup	Chlor_AMIV_KF938901.1	MCV_MP1_RBIV_AY532606.1
OG0000000	Chlor_AMIV_KF938901.1_00126	MCV_MP1_RBIV_AY532606.1_00030
OG0000001	Chlor_AMIV_KF938901.1_00044	MCV_MP1_RBIV_AY532606.1_00006
OG0000002	Chlor_AMIV_KF938901.1_00080	MCV_MP1_RBIV_AY532606.1_00007
OG0000003	Chlor_AMIV_KF938901.1_00005	MCV_MP1_RBIV_AY532606.1_00014
OG0000004	Chlor_AMIV_KF938901.1_00043	MCV_MP1_RBIV_AY532606.1_00116, MCV_MP1_RBIV_AY532606.1_00117
OG0000005	Chlor_AMIV_KF938901.1_00053	MCV_MP1_RBIV_AY532606.1_00093
OG0000006	Chlor_AMIV_KF938901.1_00067	MCV_MP1_RBIV_AY532606.1_00029
OG0000007	Chlor_AMIV_KF938901.1_00072	MCV_MP1_RBIV_AY532606.1_00078
OG0000008	Chlor_AMIV_KF938901.1_00114	MCV_MP1_RBIV_AY532606.1_00120, MCV_MP1_RBIV_AY532606.1_00119
OG0000009	Chlor_AMIV_KF938901.1_00125	MCV_MP1_RBIV_AY532606.1_00099, MCV_MP1_RBIV_AY532606.1_00098
OG0000011	Chlor_AMIV_KF938901.1_00012	MCV_MP1_RBIV_AY532606.1_00088
OG0000012	Chlor_AMIV_KF938901.1_00023	MCV_MP1_RBIV_AY532606.1_00035
OG0000013	Chlor_AMIV_KF938901.1_00025	MCV_MP1_RBIV_AY532606.1_00111
OG0000014	Chlor_AMIV_KF938901.1_00046	MCV_MP1_RBIV_AY532606.1_00089
OG0000015	Chlor_AMIV_KF938901.1_00047	MCV_MP1_RBIV_AY532606.1_00031
OG0000016	Chlor_AMIV_KF938901.1_00054	MCV_MP1_RBIV_AY532606.1_00020
OG0000017	Chlor_AMIV_KF938901.1_00060	MCV_MP1_RBIV_AY532606.1_00057
OG0000018	Chlor_AMIV_KF938901.1_00074	MCV_MP1_RBIV_AY532606.1_00125
OG0000019	Chlor_AMIV_KF938901.1_00092	MCV_MP1_RBIV_AY532606.1_00064
OG0000020	Chlor_AMIV_KF938901.1_00095	MCV_MP1_RBIV_AY532606.1_00126
OG0000021	Chlor_AMIV_KF938901.1_00123	MCV_MP1_RBIV_AY532606.1_00033
OG0000022	Chlor_AMIV_KF938901.1_00124	MCV_MP1_RBIV_AY532606.1_00004
OG0000024	Chlor_AMIV_KF938901.1_00094	MCV_MP1_RBIV_AY532606.1_00026
OG0000025	Chlor_AMIV_KF938901.1_00093	MCV_MP1_RBIV_AY532606.1_00066, MCV_MP1_RBIV_AY532606.1_00065
