Orthogroup	Chlor_AMIV_KF938901.1	Lymph_LDV1_L63545.1
OG0000000	Chlor_AMIV_KF938901.1_00126	Lymph_LDV1_L63545.1_00007
OG0000001	Chlor_AMIV_KF938901.1_00044	Lymph_LDV1_L63545.1_00079
OG0000002	Chlor_AMIV_KF938901.1_00080	Lymph_LDV1_L63545.1_00035
OG0000003	Chlor_AMIV_KF938901.1_00005	Lymph_LDV1_L63545.1_00076
OG0000004	Chlor_AMIV_KF938901.1_00043	Lymph_LDV1_L63545.1_00001
OG0000005	Chlor_AMIV_KF938901.1_00053	Lymph_LDV1_L63545.1_00090
OG0000006	Chlor_AMIV_KF938901.1_00067	Lymph_LDV1_L63545.1_00108
OG0000007	Chlor_AMIV_KF938901.1_00072	Lymph_LDV1_L63545.1_00093
OG0000008	Chlor_AMIV_KF938901.1_00114	Lymph_LDV1_L63545.1_00024
OG0000009	Chlor_AMIV_KF938901.1_00125	Lymph_LDV1_L63545.1_00056
OG0000011	Chlor_AMIV_KF938901.1_00012	Lymph_LDV1_L63545.1_00009
OG0000012	Chlor_AMIV_KF938901.1_00023	Lymph_LDV1_L63545.1_00013
OG0000013	Chlor_AMIV_KF938901.1_00025	Lymph_LDV1_L63545.1_00068
OG0000014	Chlor_AMIV_KF938901.1_00046	Lymph_LDV1_L63545.1_00073
OG0000015	Chlor_AMIV_KF938901.1_00047	Lymph_LDV1_L63545.1_00098
OG0000016	Chlor_AMIV_KF938901.1_00054	Lymph_LDV1_L63545.1_00071
OG0000017	Chlor_AMIV_KF938901.1_00060	Lymph_LDV1_L63545.1_00004
OG0000018	Chlor_AMIV_KF938901.1_00074	Lymph_LDV1_L63545.1_00030
OG0000019	Chlor_AMIV_KF938901.1_00092	Lymph_LDV1_L63545.1_00069
OG0000020	Chlor_AMIV_KF938901.1_00095	Lymph_LDV1_L63545.1_00110
OG0000021	Chlor_AMIV_KF938901.1_00123	Lymph_LDV1_L63545.1_00072
OG0000022	Chlor_AMIV_KF938901.1_00124	Lymph_LDV1_L63545.1_00043
OG0000023	Chlor_AMIV_KF938901.1_00031	Lymph_LDV1_L63545.1_00054
OG0000024	Chlor_AMIV_KF938901.1_00094	Lymph_LDV1_L63545.1_00015
OG0000113	Chlor_AMIV_KF938901.1_00104	Lymph_LDV1_L63545.1_00005, Lymph_LDV1_L63545.1_00088, Lymph_LDV1_L63545.1_00051, Lymph_LDV1_L63545.1_00047, Lymph_LDV1_L63545.1_00050
OG0000133	Chlor_AMIV_KF938901.1_00007	Lymph_LDV1_L63545.1_00016
OG0000134	Chlor_AMIV_KF938901.1_00086	Lymph_LDV1_L63545.1_00092
OG0000137	Chlor_AMIV_KF938901.1_00048	Lymph_LDV1_L63545.1_00100
OG0000138	Chlor_AMIV_KF938901.1_00065	Lymph_LDV1_L63545.1_00023
OG0000152	Chlor_AMIV_KF938901.1_00027	Lymph_LDV1_L63545.1_00018
OG0000154	Chlor_AMIV_KF938901.1_00106	Lymph_LDV1_L63545.1_00012
OG0000165	Chlor_AMIV_KF938901.1_00009	Lymph_LDV1_L63545.1_00048
OG0000166	Chlor_AMIV_KF938901.1_00017	Lymph_LDV1_L63545.1_00066
OG0000198	Chlor_AMIV_KF938901.1_00137	Lymph_LDV1_L63545.1_00105
