Orthogroup	Chlor_AMIV_KF938901.1	Daphi_LS484712.1
OG0000000	Chlor_AMIV_KF938901.1_00126	Daphi_LS484712.1_00114
OG0000001	Chlor_AMIV_KF938901.1_00044	Daphi_LS484712.1_00142
OG0000002	Chlor_AMIV_KF938901.1_00080	Daphi_LS484712.1_00095
OG0000003	Chlor_AMIV_KF938901.1_00005	Daphi_LS484712.1_00187
OG0000005	Chlor_AMIV_KF938901.1_00053	Daphi_LS484712.1_00050
OG0000006	Chlor_AMIV_KF938901.1_00067	Daphi_LS484712.1_00248
OG0000007	Chlor_AMIV_KF938901.1_00072	Daphi_LS484712.1_00040
OG0000008	Chlor_AMIV_KF938901.1_00114	Daphi_LS484712.1_00130
OG0000009	Chlor_AMIV_KF938901.1_00125	Daphi_LS484712.1_00256
OG0000011	Chlor_AMIV_KF938901.1_00012	Daphi_LS484712.1_00192
OG0000012	Chlor_AMIV_KF938901.1_00023	Daphi_LS484712.1_00194
OG0000013	Chlor_AMIV_KF938901.1_00025	Daphi_LS484712.1_00053
OG0000014	Chlor_AMIV_KF938901.1_00046	Daphi_LS484712.1_00048
OG0000015	Chlor_AMIV_KF938901.1_00047	Daphi_LS484712.1_00188
OG0000016	Chlor_AMIV_KF938901.1_00054	Daphi_LS484712.1_00200
OG0000017	Chlor_AMIV_KF938901.1_00060	Daphi_LS484712.1_00143
OG0000018	Chlor_AMIV_KF938901.1_00074	Daphi_LS484712.1_00202
OG0000019	Chlor_AMIV_KF938901.1_00092	Daphi_LS484712.1_00203
OG0000020	Chlor_AMIV_KF938901.1_00095	Daphi_LS484712.1_00135
OG0000021	Chlor_AMIV_KF938901.1_00123	Daphi_LS484712.1_00240
OG0000022	Chlor_AMIV_KF938901.1_00124	Daphi_LS484712.1_00096
OG0000023	Chlor_AMIV_KF938901.1_00031	Daphi_LS484712.1_00117
OG0000024	Chlor_AMIV_KF938901.1_00094	Daphi_LS484712.1_00149
OG0000123	Chlor_AMIV_KF938901.1_00049, Chlor_AMIV_KF938901.1_00115, Chlor_AMIV_KF938901.1_00091, Chlor_AMIV_KF938901.1_00020	Daphi_LS484712.1_00198
OG0000133	Chlor_AMIV_KF938901.1_00007	Daphi_LS484712.1_00197
OG0000134	Chlor_AMIV_KF938901.1_00086	Daphi_LS484712.1_00057
OG0000137	Chlor_AMIV_KF938901.1_00048	Daphi_LS484712.1_00251
OG0000138	Chlor_AMIV_KF938901.1_00065	Daphi_LS484712.1_00063
OG0000148	Chlor_AMIV_KF938901.1_00069	Daphi_LS484712.1_00133
OG0000155	Chlor_AMIV_KF938901.1_00112	Daphi_LS484712.1_00211
OG0000167	Chlor_AMIV_KF938901.1_00075	Daphi_LS484712.1_00113
OG0000169	Chlor_AMIV_KF938901.1_00102	Daphi_LS484712.1_00116
OG0000170	Chlor_AMIV_KF938901.1_00103	Daphi_LS484712.1_00195
OG0000171	Chlor_AMIV_KF938901.1_00117	Daphi_LS484712.1_00140
OG0000172	Chlor_AMIV_KF938901.1_00121	Daphi_LS484712.1_00112
OG0000173	Chlor_AMIV_KF938901.1_00128	Daphi_LS484712.1_00212
OG0000174	Chlor_AMIV_KF938901.1_00150	Daphi_LS484712.1_00184
OG0000184	Chlor_AMIV_KF938901.1_00008	Daphi_LS484712.1_00120
OG0000185	Chlor_AMIV_KF938901.1_00010	Daphi_LS484712.1_00163
OG0000187	Chlor_AMIV_KF938901.1_00063	Daphi_LS484712.1_00196
OG0000190	Chlor_AMIV_KF938901.1_00077	Daphi_LS484712.1_00060
OG0000194	Chlor_AMIV_KF938901.1_00113	Daphi_LS484712.1_00106
OG0000199	Chlor_AMIV_KF938901.1_00139	Daphi_LS484712.1_00224
OG0000214	Chlor_AMIV_KF938901.1_00029	Daphi_LS484712.1_00233
OG0000281	Chlor_AMIV_KF938901.1_00013	Daphi_LS484712.1_00201
OG0000288	Chlor_AMIV_KF938901.1_00050	Daphi_LS484712.1_00207
OG0000289	Chlor_AMIV_KF938901.1_00083	Daphi_LS484712.1_00206
