Orthogroup	Chlor_AMIV_KF938901.1	MCV_Unclassified_MG570132.1
OG0000000	Chlor_AMIV_KF938901.1_00126	MCV_Unclassified_MG570132.1_00031
OG0000001	Chlor_AMIV_KF938901.1_00044	MCV_Unclassified_MG570132.1_00008, MCV_Unclassified_MG570132.1_00007
OG0000002	Chlor_AMIV_KF938901.1_00080	MCV_Unclassified_MG570132.1_00009
OG0000003	Chlor_AMIV_KF938901.1_00005	MCV_Unclassified_MG570132.1_00016
OG0000004	Chlor_AMIV_KF938901.1_00043	MCV_Unclassified_MG570132.1_00108
OG0000005	Chlor_AMIV_KF938901.1_00053	MCV_Unclassified_MG570132.1_00087
OG0000006	Chlor_AMIV_KF938901.1_00067	MCV_Unclassified_MG570132.1_00030
OG0000007	Chlor_AMIV_KF938901.1_00072	MCV_Unclassified_MG570132.1_00073
OG0000008	Chlor_AMIV_KF938901.1_00114	MCV_Unclassified_MG570132.1_00110
OG0000009	Chlor_AMIV_KF938901.1_00125	MCV_Unclassified_MG570132.1_00092
OG0000011	Chlor_AMIV_KF938901.1_00012	MCV_Unclassified_MG570132.1_00083
OG0000012	Chlor_AMIV_KF938901.1_00023	MCV_Unclassified_MG570132.1_00036
OG0000013	Chlor_AMIV_KF938901.1_00025	MCV_Unclassified_MG570132.1_00103
OG0000014	Chlor_AMIV_KF938901.1_00046	MCV_Unclassified_MG570132.1_00084
OG0000015	Chlor_AMIV_KF938901.1_00047	MCV_Unclassified_MG570132.1_00032
OG0000016	Chlor_AMIV_KF938901.1_00054	MCV_Unclassified_MG570132.1_00023
OG0000017	Chlor_AMIV_KF938901.1_00060	MCV_Unclassified_MG570132.1_00057
OG0000018	Chlor_AMIV_KF938901.1_00074	MCV_Unclassified_MG570132.1_00118
OG0000019	Chlor_AMIV_KF938901.1_00092	MCV_Unclassified_MG570132.1_00063
OG0000020	Chlor_AMIV_KF938901.1_00095	MCV_Unclassified_MG570132.1_00119
OG0000021	Chlor_AMIV_KF938901.1_00123	MCV_Unclassified_MG570132.1_00034
OG0000022	Chlor_AMIV_KF938901.1_00124	MCV_Unclassified_MG570132.1_00005
OG0000023	Chlor_AMIV_KF938901.1_00031	MCV_Unclassified_MG570132.1_00045
OG0000024	Chlor_AMIV_KF938901.1_00094	MCV_Unclassified_MG570132.1_00028
OG0000025	Chlor_AMIV_KF938901.1_00093	MCV_Unclassified_MG570132.1_00064
