Orthogroup	Chlor_AMIV_KF938901.1	Rana_FV3_NC_005946.1
OG0000000	Chlor_AMIV_KF938901.1_00126	Rana_FV3_NC_005946.1_00010
OG0000001	Chlor_AMIV_KF938901.1_00044	Rana_FV3_NC_005946.1_00091
OG0000002	Chlor_AMIV_KF938901.1_00080	Rana_FV3_NC_005946.1_00053
OG0000003	Chlor_AMIV_KF938901.1_00005	Rana_FV3_NC_005946.1_00057
OG0000004	Chlor_AMIV_KF938901.1_00043	Rana_FV3_NC_005946.1_00028
OG0000005	Chlor_AMIV_KF938901.1_00053	Rana_FV3_NC_005946.1_00002
OG0000006	Chlor_AMIV_KF938901.1_00067	Rana_FV3_NC_005946.1_00095
OG0000007	Chlor_AMIV_KF938901.1_00072	Rana_FV3_NC_005946.1_00042
OG0000008	Chlor_AMIV_KF938901.1_00114	Rana_FV3_NC_005946.1_00092
OG0000009	Chlor_AMIV_KF938901.1_00125	Rana_FV3_NC_005946.1_00014
OG0000011	Chlor_AMIV_KF938901.1_00012	Rana_FV3_NC_005946.1_00094
OG0000012	Chlor_AMIV_KF938901.1_00023	Rana_FV3_NC_005946.1_00061
OG0000013	Chlor_AMIV_KF938901.1_00025	Rana_FV3_NC_005946.1_00023
OG0000014	Chlor_AMIV_KF938901.1_00046	Rana_FV3_NC_005946.1_00082
OG0000015	Chlor_AMIV_KF938901.1_00047	Rana_FV3_NC_005946.1_00083
OG0000016	Chlor_AMIV_KF938901.1_00054	Rana_FV3_NC_005946.1_00060
OG0000017	Chlor_AMIV_KF938901.1_00060	Rana_FV3_NC_005946.1_00022
OG0000018	Chlor_AMIV_KF938901.1_00074	Rana_FV3_NC_005946.1_00016
OG0000019	Chlor_AMIV_KF938901.1_00092	Rana_FV3_NC_005946.1_00011
OG0000020	Chlor_AMIV_KF938901.1_00095	Rana_FV3_NC_005946.1_00021
OG0000021	Chlor_AMIV_KF938901.1_00123	Rana_FV3_NC_005946.1_00087
OG0000022	Chlor_AMIV_KF938901.1_00124	Rana_FV3_NC_005946.1_00038
OG0000023	Chlor_AMIV_KF938901.1_00031	Rana_FV3_NC_005946.1_00089
OG0000024	Chlor_AMIV_KF938901.1_00094	Rana_FV3_NC_005946.1_00067
OG0000133	Chlor_AMIV_KF938901.1_00007	Rana_FV3_NC_005946.1_00079
OG0000134	Chlor_AMIV_KF938901.1_00086	Rana_FV3_NC_005946.1_00001
OG0000137	Chlor_AMIV_KF938901.1_00048	Rana_FV3_NC_005946.1_00039
OG0000148	Chlor_AMIV_KF938901.1_00069	Rana_FV3_NC_005946.1_00054
OG0000152	Chlor_AMIV_KF938901.1_00027	Rana_FV3_NC_005946.1_00044
OG0000156	Chlor_AMIV_KF938901.1_00118	Rana_FV3_NC_005946.1_00063
OG0000165	Chlor_AMIV_KF938901.1_00009	Rana_FV3_NC_005946.1_00029
OG0000166	Chlor_AMIV_KF938901.1_00017	Rana_FV3_NC_005946.1_00026
OG0000168	Chlor_AMIV_KF938901.1_00101	Rana_FV3_NC_005946.1_00004
