Orthogroup	Chlor_AMIV_KF938901.1	MCV_MP1_LYCI_OL774653.1
OG0000000	Chlor_AMIV_KF938901.1_00126	MCV_MP1_LYCI_OL774653.1_00051
OG0000001	Chlor_AMIV_KF938901.1_00044	MCV_MP1_LYCI_OL774653.1_00025
OG0000002	Chlor_AMIV_KF938901.1_00080	MCV_MP1_LYCI_OL774653.1_00026
OG0000003	Chlor_AMIV_KF938901.1_00005	MCV_MP1_LYCI_OL774653.1_00032
OG0000004	Chlor_AMIV_KF938901.1_00043	MCV_MP1_LYCI_OL774653.1_00006
OG0000005	Chlor_AMIV_KF938901.1_00053	MCV_MP1_LYCI_OL774653.1_00108
OG0000006	Chlor_AMIV_KF938901.1_00067	MCV_MP1_LYCI_OL774653.1_00050
OG0000007	Chlor_AMIV_KF938901.1_00072	MCV_MP1_LYCI_OL774653.1_00094
OG0000008	Chlor_AMIV_KF938901.1_00114	MCV_MP1_LYCI_OL774653.1_00008
OG0000009	Chlor_AMIV_KF938901.1_00125	MCV_MP1_LYCI_OL774653.1_00114
OG0000011	Chlor_AMIV_KF938901.1_00012	MCV_MP1_LYCI_OL774653.1_00104
OG0000012	Chlor_AMIV_KF938901.1_00023	MCV_MP1_LYCI_OL774653.1_00056
OG0000013	Chlor_AMIV_KF938901.1_00025	MCV_MP1_LYCI_OL774653.1_00001
OG0000014	Chlor_AMIV_KF938901.1_00046	MCV_MP1_LYCI_OL774653.1_00105
OG0000015	Chlor_AMIV_KF938901.1_00047	MCV_MP1_LYCI_OL774653.1_00052
OG0000016	Chlor_AMIV_KF938901.1_00054	MCV_MP1_LYCI_OL774653.1_00039
OG0000017	Chlor_AMIV_KF938901.1_00060	MCV_MP1_LYCI_OL774653.1_00076
OG0000018	Chlor_AMIV_KF938901.1_00074	MCV_MP1_LYCI_OL774653.1_00016
OG0000019	Chlor_AMIV_KF938901.1_00092	MCV_MP1_LYCI_OL774653.1_00082
OG0000020	Chlor_AMIV_KF938901.1_00095	MCV_MP1_LYCI_OL774653.1_00017
OG0000021	Chlor_AMIV_KF938901.1_00123	MCV_MP1_LYCI_OL774653.1_00054
OG0000022	Chlor_AMIV_KF938901.1_00124	MCV_MP1_LYCI_OL774653.1_00023
OG0000023	Chlor_AMIV_KF938901.1_00031	MCV_MP1_LYCI_OL774653.1_00065
OG0000024	Chlor_AMIV_KF938901.1_00094	MCV_MP1_LYCI_OL774653.1_00047
OG0000025	Chlor_AMIV_KF938901.1_00093	MCV_MP1_LYCI_OL774653.1_00083
