Orthogroup	Decap_MF599468.1	Lymph_LDV1_L63545.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	Lymph_LDV1_L63545.1_00007
OG0000001	Decap_MF599468.1_00152	Lymph_LDV1_L63545.1_00079
OG0000002	Decap_MF599468.1_00163	Lymph_LDV1_L63545.1_00035
OG0000003	Decap_MF599468.1_00011	Lymph_LDV1_L63545.1_00076
OG0000004	Decap_MF599468.1_00092	Lymph_LDV1_L63545.1_00001
OG0000005	Decap_MF599468.1_00174	Lymph_LDV1_L63545.1_00090
OG0000006	Decap_MF599468.1_00030	Lymph_LDV1_L63545.1_00108
OG0000007	Decap_MF599468.1_00010	Lymph_LDV1_L63545.1_00093
OG0000008	Decap_MF599468.1_00075	Lymph_LDV1_L63545.1_00024
OG0000009	Decap_MF599468.1_00154	Lymph_LDV1_L63545.1_00056
OG0000011	Decap_MF599468.1_00106	Lymph_LDV1_L63545.1_00009
OG0000012	Decap_MF599468.1_00071	Lymph_LDV1_L63545.1_00013
OG0000013	Decap_MF599468.1_00117	Lymph_LDV1_L63545.1_00068
OG0000014	Decap_MF599468.1_00046	Lymph_LDV1_L63545.1_00073
OG0000015	Decap_MF599468.1_00090	Lymph_LDV1_L63545.1_00098
OG0000016	Decap_MF599468.1_00112	Lymph_LDV1_L63545.1_00071
OG0000017	Decap_MF599468.1_00033	Lymph_LDV1_L63545.1_00004
OG0000018	Decap_MF599468.1_00122	Lymph_LDV1_L63545.1_00030
OG0000019	Decap_MF599468.1_00149	Lymph_LDV1_L63545.1_00069
OG0000020	Decap_MF599468.1_00009	Lymph_LDV1_L63545.1_00110
OG0000021	Decap_MF599468.1_00035	Lymph_LDV1_L63545.1_00072
OG0000022	Decap_MF599468.1_00116	Lymph_LDV1_L63545.1_00043
OG0000023	Decap_MF599468.1_00171	Lymph_LDV1_L63545.1_00054
OG0000026	Decap_MF599468.1_00039	Lymph_LDV1_L63545.1_00002
OG0000113	Decap_MF599468.1_00096	Lymph_LDV1_L63545.1_00042
OG0000113	Decap_MF599468.1_00045, Decap_MF599468.1_00036	Lymph_LDV1_L63545.1_00005, Lymph_LDV1_L63545.1_00088, Lymph_LDV1_L63545.1_00051, Lymph_LDV1_L63545.1_00047, Lymph_LDV1_L63545.1_00050
OG0000133	Decap_MF599468.1_00027	Lymph_LDV1_L63545.1_00016
OG0000134	Decap_MF599468.1_00002	Lymph_LDV1_L63545.1_00092
OG0000138	Decap_MF599468.1_00051	Lymph_LDV1_L63545.1_00023
OG0000152	Decap_MF599468.1_00060	Lymph_LDV1_L63545.1_00018
OG0000154	Decap_MF599468.1_00074	Lymph_LDV1_L63545.1_00012
OG0000160	Decap_MF599468.1_00156, Decap_MF599468.1_00066	Lymph_LDV1_L63545.1_00055
OG0000177	Decap_MF599468.1_00089, Decap_MF599468.1_00108	Lymph_LDV1_L63545.1_00091
OG0000205	Decap_MF599468.1_00006	Lymph_LDV1_L63545.1_00106
OG0000231	Decap_MF599468.1_00062	Lymph_LDV1_L63545.1_00082
