Orthogroup	Decap_MF599468.1	Irido_IIV31_HF920637.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	Decap_MF599468.1_00152	Irido_IIV31_HF920637.1_00143
OG0000002	Decap_MF599468.1_00163	Irido_IIV31_HF920637.1_00059
OG0000003	Decap_MF599468.1_00011	Irido_IIV31_HF920637.1_00159
OG0000004	Decap_MF599468.1_00092	Irido_IIV31_HF920637.1_00025
OG0000005	Decap_MF599468.1_00174	Irido_IIV31_HF920637.1_00172
OG0000006	Decap_MF599468.1_00030	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	Decap_MF599468.1_00010	Irido_IIV31_HF920637.1_00121
OG0000008	Decap_MF599468.1_00075	Irido_IIV31_HF920637.1_00153
OG0000009	Decap_MF599468.1_00154	Irido_IIV31_HF920637.1_00221
OG0000011	Decap_MF599468.1_00106	Irido_IIV31_HF920637.1_00197
OG0000012	Decap_MF599468.1_00071	Irido_IIV31_HF920637.1_00213
OG0000013	Decap_MF599468.1_00117	Irido_IIV31_HF920637.1_00111
OG0000014	Decap_MF599468.1_00046	Irido_IIV31_HF920637.1_00079
OG0000015	Decap_MF599468.1_00090	Irido_IIV31_HF920637.1_00031
OG0000016	Decap_MF599468.1_00112	Irido_IIV31_HF920637.1_00001
OG0000017	Decap_MF599468.1_00033	Irido_IIV31_HF920637.1_00017
OG0000018	Decap_MF599468.1_00122	Irido_IIV31_HF920637.1_00108
OG0000019	Decap_MF599468.1_00149	Irido_IIV31_HF920637.1_00217
OG0000020	Decap_MF599468.1_00009	Irido_IIV31_HF920637.1_00152
OG0000021	Decap_MF599468.1_00035	Irido_IIV31_HF920637.1_00073
OG0000022	Decap_MF599468.1_00116	Irido_IIV31_HF920637.1_00041
OG0000023	Decap_MF599468.1_00171	Irido_IIV31_HF920637.1_00033
OG0000113	Decap_MF599468.1_00096	Irido_IIV31_HF920637.1_00138
OG0000113	Decap_MF599468.1_00045	Irido_IIV31_HF920637.1_00148
OG0000113	Decap_MF599468.1_00036	Irido_IIV31_HF920637.1_00077
OG0000122	Decap_MF599468.1_00024, Decap_MF599468.1_00104, Decap_MF599468.1_00101, Decap_MF599468.1_00023, Decap_MF599468.1_00038, Decap_MF599468.1_00070, Decap_MF599468.1_00145, Decap_MF599468.1_00054, Decap_MF599468.1_00055, Decap_MF599468.1_00091, Decap_MF599468.1_00128, Decap_MF599468.1_00103, Decap_MF599468.1_00029, Decap_MF599468.1_00099, Decap_MF599468.1_00100, Decap_MF599468.1_00114, Decap_MF599468.1_00102	Irido_IIV31_HF920637.1_00183
OG0000133	Decap_MF599468.1_00027	Irido_IIV31_HF920637.1_00014
OG0000134	Decap_MF599468.1_00002	Irido_IIV31_HF920637.1_00219
OG0000138	Decap_MF599468.1_00051	Irido_IIV31_HF920637.1_00181
OG0000148	Decap_MF599468.1_00161	Irido_IIV31_HF920637.1_00060
OG0000154	Decap_MF599468.1_00074	Irido_IIV31_HF920637.1_00168
OG0000156	Decap_MF599468.1_00142	Irido_IIV31_HF920637.1_00150
OG0000160	Decap_MF599468.1_00156, Decap_MF599468.1_00066	Irido_IIV31_HF920637.1_00072
OG0000169	Decap_MF599468.1_00141	Irido_IIV31_HF920637.1_00056
OG0000170	Decap_MF599468.1_00162	Irido_IIV31_HF920637.1_00049
OG0000171	Decap_MF599468.1_00004	Irido_IIV31_HF920637.1_00095
OG0000172	Decap_MF599468.1_00105	Irido_IIV31_HF920637.1_00045
OG0000173	Decap_MF599468.1_00067	Irido_IIV31_HF920637.1_00120
OG0000174	Decap_MF599468.1_00155	Irido_IIV31_HF920637.1_00067
OG0000186	Decap_MF599468.1_00037	Irido_IIV31_HF920637.1_00212
OG0000188	Decap_MF599468.1_00172	Irido_IIV31_HF920637.1_00160
OG0000191	Decap_MF599468.1_00065	Irido_IIV31_HF920637.1_00194
OG0000193	Decap_MF599468.1_00025	Irido_IIV31_HF920637.1_00047
OG0000195	Decap_MF599468.1_00129	Irido_IIV31_HF920637.1_00020
OG0000196	Decap_MF599468.1_00022	Irido_IIV31_HF920637.1_00139
OG0000197	Decap_MF599468.1_00015	Irido_IIV31_HF920637.1_00193
OG0000200	Decap_MF599468.1_00079	Irido_IIV31_HF920637.1_00100
OG0000201	Decap_MF599468.1_00044	Irido_IIV31_HF920637.1_00192
OG0000202	Decap_MF599468.1_00125	Irido_IIV31_HF920637.1_00005
OG0000203	Decap_MF599468.1_00043	Irido_IIV31_HF920637.1_00085
OG0000206	Decap_MF599468.1_00016	Irido_IIV31_HF920637.1_00133, Irido_IIV31_HF920637.1_00142, Irido_IIV31_HF920637.1_00136
OG0000295	Decap_MF599468.1_00072	Irido_IIV31_HF920637.1_00090
OG0000296	Decap_MF599468.1_00107	Irido_IIV31_HF920637.1_00064
