Orthogroup	Decap_MF599468.1	MCV_Unlassified_OL310752.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108
OG0000001	Decap_MF599468.1_00152	MCV_Unlassified_OL310752.1_00019
OG0000002	Decap_MF599468.1_00163	MCV_Unlassified_OL310752.1_00018
OG0000003	Decap_MF599468.1_00011	MCV_Unlassified_OL310752.1_00012
OG0000004	Decap_MF599468.1_00092	MCV_Unlassified_OL310752.1_00060
OG0000005	Decap_MF599468.1_00174	MCV_Unlassified_OL310752.1_00042
OG0000006	Decap_MF599468.1_00030	MCV_Unlassified_OL310752.1_00107
OG0000007	Decap_MF599468.1_00010	MCV_Unlassified_OL310752.1_00078
OG0000008	Decap_MF599468.1_00075	MCV_Unlassified_OL310752.1_00116
OG0000009	Decap_MF599468.1_00154	MCV_Unlassified_OL310752.1_00036
OG0000011	Decap_MF599468.1_00106	MCV_Unlassified_OL310752.1_00046
OG0000012	Decap_MF599468.1_00071	MCV_Unlassified_OL310752.1_00083
OG0000013	Decap_MF599468.1_00117	MCV_Unlassified_OL310752.1_00065
OG0000014	Decap_MF599468.1_00046	MCV_Unlassified_OL310752.1_00045
OG0000015	Decap_MF599468.1_00090	MCV_Unlassified_OL310752.1_00114
OG0000016	Decap_MF599468.1_00112	MCV_Unlassified_OL310752.1_00004
OG0000017	Decap_MF599468.1_00033	MCV_Unlassified_OL310752.1_00096
OG0000018	Decap_MF599468.1_00122	MCV_Unlassified_OL310752.1_00071
OG0000019	Decap_MF599468.1_00149	MCV_Unlassified_OL310752.1_00027
OG0000020	Decap_MF599468.1_00009	MCV_Unlassified_OL310752.1_00072
OG0000021	Decap_MF599468.1_00035	MCV_Unlassified_OL310752.1_00085
OG0000022	Decap_MF599468.1_00116	MCV_Unlassified_OL310752.1_00021
OG0000023	Decap_MF599468.1_00171	MCV_Unlassified_OL310752.1_00052
OG0000026	Decap_MF599468.1_00039	MCV_Unlassified_OL310752.1_00062
OG0000035	Decap_MF599468.1_00013	MCV_Unlassified_OL310752.1_00022
OG0000065	Decap_MF599468.1_00131	MCV_Unlassified_OL310752.1_00033
