Orthogroup	Decap_MF599468.1	MCV_ML1_SDDV_MT521409.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	MCV_ML1_SDDV_MT521409.1_00103
OG0000001	Decap_MF599468.1_00152	MCV_ML1_SDDV_MT521409.1_00081
OG0000002	Decap_MF599468.1_00163	MCV_ML1_SDDV_MT521409.1_00082
OG0000003	Decap_MF599468.1_00011	MCV_ML1_SDDV_MT521409.1_00088
OG0000004	Decap_MF599468.1_00092	MCV_ML1_SDDV_MT521409.1_00061
OG0000005	Decap_MF599468.1_00174	MCV_ML1_SDDV_MT521409.1_00053
OG0000006	Decap_MF599468.1_00030	MCV_ML1_SDDV_MT521409.1_00100
OG0000007	Decap_MF599468.1_00010	MCV_ML1_SDDV_MT521409.1_00117
OG0000008	Decap_MF599468.1_00075	MCV_ML1_SDDV_MT521409.1_00060
OG0000009	Decap_MF599468.1_00154	MCV_ML1_SDDV_MT521409.1_00057
OG0000011	Decap_MF599468.1_00106	MCV_ML1_SDDV_MT521409.1_00047
OG0000012	Decap_MF599468.1_00071	MCV_ML1_SDDV_MT521409.1_00008
OG0000013	Decap_MF599468.1_00117	MCV_ML1_SDDV_MT521409.1_00064
OG0000014	Decap_MF599468.1_00046	MCV_ML1_SDDV_MT521409.1_00048
OG0000015	Decap_MF599468.1_00090	MCV_ML1_SDDV_MT521409.1_00012
OG0000016	Decap_MF599468.1_00112	MCV_ML1_SDDV_MT521409.1_00097
OG0000017	Decap_MF599468.1_00033	MCV_ML1_SDDV_MT521409.1_00039
OG0000018	Decap_MF599468.1_00122	MCV_ML1_SDDV_MT521409.1_00059
OG0000019	Decap_MF599468.1_00149	MCV_ML1_SDDV_MT521409.1_00129
OG0000020	Decap_MF599468.1_00009	MCV_ML1_SDDV_MT521409.1_00134
OG0000021	Decap_MF599468.1_00035	MCV_ML1_SDDV_MT521409.1_00011
OG0000022	Decap_MF599468.1_00116	MCV_ML1_SDDV_MT521409.1_00125
OG0000023	Decap_MF599468.1_00171	MCV_ML1_SDDV_MT521409.1_00024
OG0000026	Decap_MF599468.1_00039	MCV_ML1_SDDV_MT521409.1_00063
OG0000035	Decap_MF599468.1_00013	MCV_ML1_SDDV_MT521409.1_00040
OG0000178	Decap_MF599468.1_00098	MCV_ML1_SDDV_MT521409.1_00115
