Orthogroup	Decap_MF599468.1	MCV_ML1_SDDV_NC_027778.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	MCV_ML1_SDDV_NC_027778.1_00083
OG0000001	Decap_MF599468.1_00152	MCV_ML1_SDDV_NC_027778.1_00061
OG0000002	Decap_MF599468.1_00163	MCV_ML1_SDDV_NC_027778.1_00062
OG0000003	Decap_MF599468.1_00011	MCV_ML1_SDDV_NC_027778.1_00068
OG0000004	Decap_MF599468.1_00092	MCV_ML1_SDDV_NC_027778.1_00040
OG0000005	Decap_MF599468.1_00174	MCV_ML1_SDDV_NC_027778.1_00032
OG0000006	Decap_MF599468.1_00030	MCV_ML1_SDDV_NC_027778.1_00080
OG0000007	Decap_MF599468.1_00010	MCV_ML1_SDDV_NC_027778.1_00098
OG0000008	Decap_MF599468.1_00075	MCV_ML1_SDDV_NC_027778.1_00039
OG0000009	Decap_MF599468.1_00154	MCV_ML1_SDDV_NC_027778.1_00036
OG0000011	Decap_MF599468.1_00106	MCV_ML1_SDDV_NC_027778.1_00026
OG0000012	Decap_MF599468.1_00071	MCV_ML1_SDDV_NC_027778.1_00129
OG0000013	Decap_MF599468.1_00117	MCV_ML1_SDDV_NC_027778.1_00043
OG0000014	Decap_MF599468.1_00046	MCV_ML1_SDDV_NC_027778.1_00027
OG0000015	Decap_MF599468.1_00090	MCV_ML1_SDDV_NC_027778.1_00133
OG0000016	Decap_MF599468.1_00112	MCV_ML1_SDDV_NC_027778.1_00077
OG0000017	Decap_MF599468.1_00033	MCV_ML1_SDDV_NC_027778.1_00018
OG0000018	Decap_MF599468.1_00122	MCV_ML1_SDDV_NC_027778.1_00038
OG0000019	Decap_MF599468.1_00149	MCV_ML1_SDDV_NC_027778.1_00111
OG0000020	Decap_MF599468.1_00009	MCV_ML1_SDDV_NC_027778.1_00116
OG0000021	Decap_MF599468.1_00035	MCV_ML1_SDDV_NC_027778.1_00132
OG0000022	Decap_MF599468.1_00116	MCV_ML1_SDDV_NC_027778.1_00106
OG0000023	Decap_MF599468.1_00171	MCV_ML1_SDDV_NC_027778.1_00003
OG0000026	Decap_MF599468.1_00039	MCV_ML1_SDDV_NC_027778.1_00042
OG0000035	Decap_MF599468.1_00013	MCV_ML1_SDDV_NC_027778.1_00019
OG0000178	Decap_MF599468.1_00098	MCV_ML1_SDDV_NC_027778.1_00096
