Orthogroup	MT521409	HF920637
OG0000000	OM037668.1_00035 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	OM037668.1_00056 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	OM037668.1_00050 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	SDDV_ORF038 Flap endonuclease	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	OM037668.1_00077 hypothetical protein	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation
OG0000005	OM037668.1_00013 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000006	OM037668.1_00057 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000007	OM037668.1_00041 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000008	OM037668.1_00123 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000009	OM037668.1_00124 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000010	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000011	OM037668.1_00098 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000012	OM037668.1_00009 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000013	OM037668.1_00090 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000014	OM037668.1_00084 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000015	OM037668.1_00073 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000016	OM037668.1_00078 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000017	OM037668.1_00004 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000018	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000019	OM037668.1_00021 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000020	OM037668.1_00089 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000021	OM037668.1_00080 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000022	OM037668.1_00076 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000023	OM037668.1_00113 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000025	OM037668.1_00024 hypothetical protein	HF920637.1_00156 HF920637.1 - hypothetical protein translation
OG0000136	OM037668.1_00068 Thymidylate synthase	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation
OG0000177	OM037668.1_00022 hypothetical protein	HF920637.1_00013 HF920637.1 - hypothetical protein translation
