Orthogroup	OL774654.1	AF303741.1
OG0000000	OL774654.1_00031	AF303741.1_00079, AF303741.1_00152
OG0000001	OL774654.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	OL774654.1_00007	AF303741.1_00125
OG0000003	OL774654.1_00015	AF303741.1_00035
OG0000004	OL774654.1_00111	AF303741.1_00080
OG0000005	OL774654.1_00094	AF303741.1_00129
OG0000006	OL774654.1_00075	AF303741.1_00132
OG0000007	OL774654.1_00089	AF303741.1_00149
OG0000008	OL774654.1_00030	AF303741.1_00165
OG0000009	OL774654.1_00113	AF303741.1_00176
OG0000011	OL774654.1_00063	AF303741.1_00006
OG0000012	OL774654.1_00022	AF303741.1_00011
OG0000013	OL774654.1_00057	AF303741.1_00023
OG0000014	OL774654.1_00121	AF303741.1_00026
OG0000015	OL774654.1_00122	AF303741.1_00046
OG0000016	OL774654.1_00086	AF303741.1_00062
OG0000017	OL774654.1_00034	AF303741.1_00063
OG0000018	OL774654.1_00106	AF303741.1_00081
OG0000019	OL774654.1_00085	AF303741.1_00137
OG0000020	OL774654.1_00032	AF303741.1_00156
OG0000021	OL774654.1_00005	AF303741.1_00158
OG0000022	OL774654.1_00036	AF303741.1_00189
OG0000023	OL774654.1_00045	AF303741.1_00154
OG0000024	OL774654.1_00027	AF303741.1_00168
OG0000025	OL774654.1_00064	AF303741.1_00051
