Orthogroup	AY521625	MF599468
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	AY521625.1_00077 AY521625.1 - hypothetical protein translation	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000002	AY521625.1_00130 AY521625.1 - hypothetical protein translation	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	AY521625.1_00142 AY521625.1 - hypothetical protein translation	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	AY521625.1_00054 AY521625.1 - hypothetical protein translation	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000006	AY521625.1_00064 AY521625.1 - Major capsid protein translation	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000007	AY521625.1_00110 AY521625.1 - hypothetical protein translation	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000008	AY521625.1_00074 AY521625.1 - hypothetical protein translation	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000009	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	AY521625.1_00048 AY521625.1 - hypothetical protein translation	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000011	AY521625.1_00053 AY521625.1 - hypothetical protein translation	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000012	AY521625.1_00086 AY521625.1 - hypothetical protein translation	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000013	AY521625.1_00016 AY521625.1 - hypothetical protein translation	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000014	AY521625.1_00047 AY521625.1 - hypothetical protein translation	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000015	AY521625.1_00115 AY521625.1 - hypothetical protein translation	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000016	AY521625.1_00035 AY521625.1 - hypothetical protein translation	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000018	AY521625.1_00059 AY521625.1 - hypothetical protein translation	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000019	AY521625.1_00051 AY521625.1 - hypothetical protein translation	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000020	AY521625.1_00073 AY521625.1 - hypothetical protein translation	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000021	AY521625.1_00100 AY521625.1 - hypothetical protein translation	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000022	AY521625.1_00069 AY521625.1 - hypothetical protein translation	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000125	AY521625.1_00036 AY521625.1 - hypothetical protein translation	MF599468.1_00096 MF599468.1 - hypothetical protein translation
OG0000132	AY521625.1_00098 AY521625.1 - hypothetical protein translation	MF599468.1_00002 MF599468.1 - hypothetical protein translation
OG0000142	AY521625.1_00133 AY521625.1 - hypothetical protein translation	MF599468.1_00161 MF599468.1 - hypothetical protein translation
OG0000148	AY521625.1_00044 AY521625.1 - Deoxyuridine	MF599468.1_00142 MF599468.1 - Deoxyuridine
OG0000151	AY521625.1_00018 AY521625.1 - hypothetical protein translation	MF599468.1_00060 MF599468.1 - hypothetical protein translation
OG0000154	AY521625.1_00126 AY521625.1 - hypothetical protein translation	MF599468.1_00156 MF599468.1 - hypothetical protein translation, MF599468.1_00066 MF599468.1 - hypothetical protein translation
OG0000167	AY521625.1_00014 AY521625.1 - hypothetical protein translation	MF599468.1_00081 MF599468.1 - hypothetical protein translation
OG0000174	AY521625.1_00011 AY521625.1 - hypothetical protein translation	MF599468.1_00089 MF599468.1 - hypothetical protein translation, MF599468.1_00108 MF599468.1 - hypothetical protein translation
OG0000199	AY521625.1_00066 AY521625.1 - hypothetical protein translation	MF599468.1_00006 MF599468.1 - hypothetical protein translation
OG0000225	AY521625.1_00057 AY521625.1 - hypothetical protein translation	MF599468.1_00062 MF599468.1 - hypothetical protein translation
OG0000269	AY521625.1_00089 AY521625.1 - viral Ubiquitin translation	MF599468.1_00076 MF599468.1 - viral Ubiquitin translation
