Orthogroup	AY521625	PQ335173_PQ335174
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation
OG0000001	AY521625.1_00077 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation
OG0000002	AY521625.1_00130 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation
OG0000004	AY521625.1_00142 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation
OG0000005	AY521625.1_00054 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation
OG0000006	AY521625.1_00064 AY521625.1 - Major capsid protein translation	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation
OG0000007	AY521625.1_00110 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation
OG0000008	AY521625.1_00074 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
OG0000009	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	AY521625.1_00048 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
OG0000011	AY521625.1_00053 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
OG0000012	AY521625.1_00086 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000013	AY521625.1_00016 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000014	AY521625.1_00047 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000015	AY521625.1_00115 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation
OG0000016	AY521625.1_00035 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
OG0000017	AY521625.1_00042 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	AY521625.1_00059 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
OG0000019	AY521625.1_00051 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
OG0000020	AY521625.1_00073 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000021	AY521625.1_00100 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000022	AY521625.1_00069 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation
OG0000024	AY521625.1_00062 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
OG0000026	AY521625.1_00022 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation
OG0000027	AY521625.1_00060 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation
OG0000031	AY521625.1_00004 AY521625.1 - hypothetical protein translation	PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation
