Orthogroup	AY521625	MK637631
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	MK637631_00115 hypothetical protein
OG0000001	AY521625.1_00077 AY521625.1 - hypothetical protein translation	MK637631_00025 hypothetical protein
OG0000002	AY521625.1_00130 AY521625.1 - hypothetical protein translation	MK637631_00030 hypothetical protein
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	MK637631_00114 hypothetical protein
OG0000004	AY521625.1_00142 AY521625.1 - hypothetical protein translation	MK637631_00105 hypothetical protein
OG0000005	AY521625.1_00054 AY521625.1 - hypothetical protein translation	MK637631_00070 hypothetical protein
OG0000006	AY521625.1_00064 AY521625.1 - Major capsid protein translation	MK637631_00044 Major capsid protein
OG0000007	AY521625.1_00110 AY521625.1 - hypothetical protein translation	MK637631_00017 hypothetical protein
OG0000008	AY521625.1_00074 AY521625.1 - hypothetical protein translation	MK637631_00043 hypothetical protein
OG0000009	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000010	AY521625.1_00048 AY521625.1 - hypothetical protein translation	MK637631_00086 hypothetical protein
OG0000011	AY521625.1_00053 AY521625.1 - hypothetical protein translation	MK637631_00066 hypothetical protein
OG0000012	AY521625.1_00086 AY521625.1 - hypothetical protein translation	MK637631_00011 hypothetical protein
OG0000013	AY521625.1_00016 AY521625.1 - hypothetical protein translation	MK637631_00056 hypothetical protein
OG0000014	AY521625.1_00047 AY521625.1 - hypothetical protein translation	MK637631_00100 hypothetical protein
OG0000015	AY521625.1_00115 AY521625.1 - hypothetical protein translation	MK637631_00106 hypothetical protein
OG0000016	AY521625.1_00035 AY521625.1 - hypothetical protein translation	MK637631_00046 hypothetical protein
OG0000017	AY521625.1_00042 AY521625.1 - hypothetical protein translation	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000019	AY521625.1_00051 AY521625.1 - hypothetical protein translation	MK637631_00094 hypothetical protein
OG0000020	AY521625.1_00073 AY521625.1 - hypothetical protein translation	MK637631_00010 hypothetical protein
OG0000021	AY521625.1_00100 AY521625.1 - hypothetical protein translation	MK637631_00110 hypothetical protein
OG0000022	AY521625.1_00069 AY521625.1 - hypothetical protein translation	MK637631_00104 hypothetical protein
OG0000024	AY521625.1_00062 AY521625.1 - hypothetical protein translation	MK637631_00074 hypothetical protein
OG0000026	AY521625.1_00022 AY521625.1 - hypothetical protein translation	MK637631_00037 hypothetical protein
OG0000027	AY521625.1_00060 AY521625.1 - hypothetical protein translation	MK637631_00101 hypothetical protein
OG0000031	AY521625.1_00004 AY521625.1 - hypothetical protein translation	MK637631_00001 hypothetical protein
OG0000269	AY521625.1_00089 AY521625.1 - viral Ubiquitin translation	MK637631_00093 viral Ubiquitin
