Orthogroup	ON743042.1	LS484712.1
OG0000000	ON743042.1_00031	LS484712.1_00114
OG0000001	ON743042.1_00007	LS484712.1_00142
OG0000003	ON743042.1_00008	LS484712.1_00095
OG0000004	ON743042.1_00015	LS484712.1_00187
OG0000005	ON743042.1_00030	LS484712.1_00248
OG0000006	ON743042.1_00077	LS484712.1_00040
OG0000007	ON743042.1_00091	LS484712.1_00234, LS484712.1_00050
OG0000009	ON743042.1_00115	LS484712.1_00130
OG0000010	ON743042.1_00005	LS484712.1_00096
OG0000011	ON743042.1_00022	LS484712.1_00200
OG0000012	ON743042.1_00032	LS484712.1_00188
OG0000013	ON743042.1_00034	LS484712.1_00240
OG0000014	ON743042.1_00036	LS484712.1_00194
OG0000015	ON743042.1_00059	LS484712.1_00143
OG0000016	ON743042.1_00065	LS484712.1_00203
OG0000017	ON743042.1_00087	LS484712.1_00192
OG0000018	ON743042.1_00088	LS484712.1_00048
OG0000019	ON743042.1_00108	LS484712.1_00053
OG0000020	ON743042.1_00123	LS484712.1_00202
OG0000021	ON743042.1_00124	LS484712.1_00135
OG0000022	ON743042.1_00046	LS484712.1_00117
OG0000068	ON743042.1_00069	LS484712.1_00002
