Orthogroup	ON743042.1	OQ475017.1
OG0000000	ON743042.1_00031	OQ475017.1_00030
OG0000001	ON743042.1_00007	OQ475017.1_00007
OG0000002	ON743042.1_00078	OQ475017.1_00074
OG0000003	ON743042.1_00008	OQ475017.1_00008
OG0000004	ON743042.1_00015	OQ475017.1_00015
OG0000005	ON743042.1_00030	OQ475017.1_00029
OG0000006	ON743042.1_00077	OQ475017.1_00073
OG0000007	ON743042.1_00091	OQ475017.1_00087
OG0000008	ON743042.1_00113	OQ475017.1_00110
OG0000009	ON743042.1_00115	OQ475017.1_00112
OG0000010	ON743042.1_00005	OQ475017.1_00005
OG0000011	ON743042.1_00022	OQ475017.1_00022
OG0000012	ON743042.1_00032	OQ475017.1_00031
OG0000013	ON743042.1_00034	OQ475017.1_00033
OG0000014	ON743042.1_00036	OQ475017.1_00035
OG0000015	ON743042.1_00059	OQ475017.1_00056
OG0000016	ON743042.1_00065	OQ475017.1_00062
OG0000017	ON743042.1_00087	OQ475017.1_00083
OG0000018	ON743042.1_00088	OQ475017.1_00084
OG0000019	ON743042.1_00108	OQ475017.1_00105
OG0000020	ON743042.1_00123	OQ475017.1_00120
OG0000021	ON743042.1_00124	OQ475017.1_00121
OG0000022	ON743042.1_00046	OQ475017.1_00044
OG0000023	ON743042.1_00096	OQ475017.1_00093
OG0000024	ON743042.1_00111	OQ475017.1_00108
OG0000025	ON743042.1_00066	OQ475017.1_00063
OG0000026	ON743042.1_00089	OQ475017.1_00085
OG0000027	ON743042.1_00049	OQ475017.1_00047
OG0000028	ON743042.1_00006	OQ475017.1_00006
OG0000030	ON743042.1_00001	OQ475017.1_00001
OG0000031	ON743042.1_00082	OQ475017.1_00078
OG0000032	ON743042.1_00090	OQ475017.1_00086
OG0000033	ON743042.1_00125	OQ475017.1_00122
OG0000034	ON743042.1_00013	OQ475017.1_00013
OG0000035	ON743042.1_00014	OQ475017.1_00014
OG0000036	ON743042.1_00019	OQ475017.1_00019
OG0000037	ON743042.1_00020	OQ475017.1_00020
OG0000038	ON743042.1_00023	OQ475017.1_00023
OG0000039	ON743042.1_00024	OQ475017.1_00024
OG0000040	ON743042.1_00033	OQ475017.1_00032
OG0000041	ON743042.1_00037	OQ475017.1_00036
OG0000042	ON743042.1_00051	OQ475017.1_00048
OG0000043	ON743042.1_00052	OQ475017.1_00049
OG0000044	ON743042.1_00057	OQ475017.1_00054
OG0000045	ON743042.1_00058	OQ475017.1_00055
OG0000046	ON743042.1_00060	OQ475017.1_00057
OG0000047	ON743042.1_00061	OQ475017.1_00058
OG0000048	ON743042.1_00062	OQ475017.1_00059
OG0000049	ON743042.1_00079	OQ475017.1_00075
OG0000050	ON743042.1_00083	OQ475017.1_00079
OG0000051	ON743042.1_00084	OQ475017.1_00080
OG0000052	ON743042.1_00095	OQ475017.1_00092
OG0000053	ON743042.1_00097	OQ475017.1_00094
OG0000054	ON743042.1_00100	OQ475017.1_00097
OG0000055	ON743042.1_00112	OQ475017.1_00109
OG0000056	ON743042.1_00117	OQ475017.1_00114
OG0000057	ON743042.1_00119	OQ475017.1_00116
OG0000058	ON743042.1_00002	OQ475017.1_00002
OG0000059	ON743042.1_00010	OQ475017.1_00010
OG0000060	ON743042.1_00018	OQ475017.1_00018
OG0000061	ON743042.1_00092	OQ475017.1_00088
OG0000062	ON743042.1_00027	OQ475017.1_00027
OG0000063	ON743042.1_00074	OQ475017.1_00070
OG0000064	ON743042.1_00017	OQ475017.1_00017
OG0000065	ON743042.1_00040, ON743042.1_00039	OQ475017.1_00038
OG0000066	ON743042.1_00044	OQ475017.1_00042
OG0000067	ON743042.1_00048	OQ475017.1_00046
OG0000068	ON743042.1_00069	OQ475017.1_00065
OG0000069	ON743042.1_00099	OQ475017.1_00096
