Orthogroup	ON743042.1	HF920637.1
OG0000000	ON743042.1_00031	HF920637.1_00129, HF920637.1_00164
OG0000001	ON743042.1_00007	HF920637.1_00143
OG0000003	ON743042.1_00008	HF920637.1_00059
OG0000004	ON743042.1_00015	HF920637.1_00159
OG0000005	ON743042.1_00030	HF920637.1_00176, HF920637.1_00175
OG0000006	ON743042.1_00077	HF920637.1_00121
OG0000007	ON743042.1_00091	HF920637.1_00172
OG0000008	ON743042.1_00113	HF920637.1_00025
OG0000009	ON743042.1_00115	HF920637.1_00153
OG0000010	ON743042.1_00005	HF920637.1_00041
OG0000011	ON743042.1_00022	HF920637.1_00001
OG0000012	ON743042.1_00032	HF920637.1_00031
OG0000013	ON743042.1_00034	HF920637.1_00073
OG0000014	ON743042.1_00036	HF920637.1_00213
OG0000015	ON743042.1_00059	HF920637.1_00017
OG0000016	ON743042.1_00065	HF920637.1_00217
OG0000017	ON743042.1_00087	HF920637.1_00197
OG0000018	ON743042.1_00088	HF920637.1_00079
OG0000019	ON743042.1_00108	HF920637.1_00111
OG0000020	ON743042.1_00123	HF920637.1_00108
OG0000021	ON743042.1_00124	HF920637.1_00152
OG0000022	ON743042.1_00046	HF920637.1_00033
OG0000023	ON743042.1_00096	HF920637.1_00221
OG0000024	ON743042.1_00111	HF920637.1_00203
OG0000025	ON743042.1_00066	HF920637.1_00156
OG0000028	ON743042.1_00006	HF920637.1_00127
