Orthogroup	AY779031.1	AY532606.1
OG0000000	AY779031.1_00034	AY532606.1_00030
OG0000001	AY779031.1_00008	AY532606.1_00007
OG0000002	AY779031.1_00007	AY532606.1_00006
OG0000003	AY779031.1_00015, AY779031.1_00016	AY532606.1_00014
OG0000004	AY779031.1_00121	AY532606.1_00116, AY532606.1_00117
OG0000005	AY779031.1_00103	AY532606.1_00099
OG0000006	AY779031.1_00083, AY779031.1_00084	AY532606.1_00078
OG0000007	AY779031.1_00098	AY532606.1_00093
OG0000008	AY779031.1_00033	AY532606.1_00029
OG0000009	AY779031.1_00122	AY532606.1_00120, AY532606.1_00119
OG0000010	AY779031.1_00085	AY532606.1_00079
OG0000011	AY779031.1_00068	AY532606.1_00064
OG0000012	AY779031.1_00023	AY532606.1_00020
OG0000013	AY779031.1_00061	AY532606.1_00057
OG0000014	AY779031.1_00129	AY532606.1_00125
OG0000015	AY779031.1_00130	AY532606.1_00126
OG0000016	AY779031.1_00095	AY532606.1_00089
OG0000017	AY779031.1_00037	AY532606.1_00033
OG0000018	AY779031.1_00116	AY532606.1_00111
OG0000019	AY779031.1_00094	AY532606.1_00088
OG0000020	AY779031.1_00035	AY532606.1_00031
OG0000021	AY779031.1_00005	AY532606.1_00004
OG0000022	AY779031.1_00039	AY532606.1_00035
OG0000025	AY779031.1_00069	AY532606.1_00066, AY532606.1_00065
OG0000026	AY779031.1_00119	AY532606.1_00114
OG0000027	AY779031.1_00096	AY532606.1_00090
OG0000028	AY779031.1_00052	AY532606.1_00047
OG0000029	AY779031.1_00066	AY532606.1_00062
OG0000030	AY779031.1_00001	AY532606.1_00001
OG0000031	AY779031.1_00006	AY532606.1_00005
OG0000032	AY779031.1_00089	AY532606.1_00083
OG0000033	AY779031.1_00097	AY532606.1_00091
OG0000034	AY779031.1_00131	AY532606.1_00127
OG0000035	AY779031.1_00013	AY532606.1_00012
OG0000036	AY779031.1_00014	AY532606.1_00013
OG0000037	AY779031.1_00019	AY532606.1_00018
OG0000038	AY779031.1_00020	AY532606.1_00019
OG0000039	AY779031.1_00024	AY532606.1_00021
OG0000040	AY779031.1_00025	AY532606.1_00022
OG0000041	AY779031.1_00036	AY532606.1_00032
OG0000042	AY779031.1_00040	AY532606.1_00036
OG0000043	AY779031.1_00053	AY532606.1_00049
OG0000044	AY779031.1_00054	AY532606.1_00050
OG0000045	AY779031.1_00059	AY532606.1_00055
OG0000046	AY779031.1_00060	AY532606.1_00056
OG0000047	AY779031.1_00062	AY532606.1_00058
OG0000048	AY779031.1_00063	AY532606.1_00059
OG0000049	AY779031.1_00065	AY532606.1_00061
OG0000050	AY779031.1_00086	AY532606.1_00080
OG0000051	AY779031.1_00090	AY532606.1_00084
OG0000052	AY779031.1_00091	AY532606.1_00085
OG0000053	AY779031.1_00102	AY532606.1_00097
OG0000054	AY779031.1_00104	AY532606.1_00100
OG0000055	AY779031.1_00107	AY532606.1_00103
OG0000056	AY779031.1_00120	AY532606.1_00115
OG0000057	AY779031.1_00125	AY532606.1_00122
OG0000058	AY779031.1_00127	AY532606.1_00124
OG0000060	AY779031.1_00010	AY532606.1_00009
OG0000062	AY779031.1_00099	AY532606.1_00094
OG0000063	AY779031.1_00074, AY779031.1_00075, AY779031.1_00080	AY532606.1_00075
OG0000064	AY779031.1_00123, AY779031.1_00018	AY532606.1_00016
OG0000065	AY779031.1_00042	AY532606.1_00038
OG0000066	AY779031.1_00047, AY779031.1_00046	AY532606.1_00043
OG0000067	AY779031.1_00051	AY532606.1_00046
OG0000068	AY779031.1_00072	AY532606.1_00069
OG0000069	AY779031.1_00106	AY532606.1_00102
OG0000070	AY779031.1_00110, AY779031.1_00111	AY532606.1_00104
OG0000071	AY779031.1_00124	AY532606.1_00121
OG0000072	AY779031.1_00009	AY532606.1_00008
OG0000073	AY779031.1_00012	AY532606.1_00011
OG0000074	AY779031.1_00017	AY532606.1_00015
OG0000075	AY779031.1_00038	AY532606.1_00034
OG0000076	AY779031.1_00041	AY532606.1_00037
OG0000077	AY779031.1_00044	AY532606.1_00040
OG0000078	AY779031.1_00045	AY532606.1_00042
OG0000079	AY779031.1_00050	AY532606.1_00045
OG0000080	AY779031.1_00055	AY532606.1_00051
OG0000081	AY779031.1_00056	AY532606.1_00052
OG0000082	AY779031.1_00057	AY532606.1_00053
OG0000083	AY779031.1_00067	AY532606.1_00063
OG0000084	AY779031.1_00070	AY532606.1_00067
OG0000085	AY779031.1_00073	AY532606.1_00070
