Orthogroup	MG570132	OQ475017
OG0000000	MG570132.1_00016 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000001	MG570132.1_00002 hypothetical protein	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation
OG0000002	MG570132.1_00005 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000003	MG570132.1_00008 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000004	MG570132.1_00009 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000005	MG570132.1_00015 hypothetical protein	OQ475017.1_00014 OQ475017.1 - hypothetical protein translation
OG0000006	MG570132.1_00019 hypothetical protein	OQ475017.1_00018 OQ475017.1 - hypothetical protein translation
OG0000007	MG570132.1_00020 hypothetical protein	OQ475017.1_00019 OQ475017.1 - hypothetical protein translation
OG0000008	MG570132.1_00021 hypothetical protein	OQ475017.1_00020 OQ475017.1 - hypothetical protein translation
OG0000009	MG570132.1_00023 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000010	MG570132.1_00024 hypothetical protein	OQ475017.1_00023 OQ475017.1 - hypothetical protein translation
OG0000011	MG570132.1_00028 Ribonucleoside-diphosphate reductase small chain	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000012	MG570132.1_00030 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000013	MG570132.1_00031 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000014	MG570132.1_00032 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000015	MG570132.1_00034 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000016	MG570132.1_00045 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000017	MG570132.1_00048 hypothetical protein	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation
OG0000018	MG570132.1_00049 hypothetical protein	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation
OG0000019	MG570132.1_00050 hypothetical protein	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation
OG0000020	MG570132.1_00055 hypothetical protein	OQ475017.1_00054 OQ475017.1 - hypothetical protein translation
OG0000021	MG570132.1_00056 hypothetical protein	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation
OG0000022	MG570132.1_00057 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000023	MG570132.1_00058 hypothetical protein	OQ475017.1_00057 OQ475017.1 - hypothetical protein translation
OG0000024	MG570132.1_00060 hypothetical protein	OQ475017.1_00059 OQ475017.1 - hypothetical protein translation
OG0000025	MG570132.1_00063 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000026	MG570132.1_00064 hypothetical protein	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation
OG0000027	MG570132.1_00075 hypothetical protein	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation
OG0000028	MG570132.1_00078 hypothetical protein	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation
OG0000029	MG570132.1_00079 hypothetical protein	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation
OG0000030	MG570132.1_00080 hypothetical protein	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation
OG0000031	MG570132.1_00083 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000032	MG570132.1_00084 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000033	MG570132.1_00085 hypothetical protein	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation
OG0000034	MG570132.1_00086 hypothetical protein	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation
OG0000035	MG570132.1_00087 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000036	MG570132.1_00091 hypothetical protein	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation
OG0000037	MG570132.1_00092 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000038	MG570132.1_00093 hypothetical protein	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation
OG0000039	MG570132.1_00096 hypothetical protein	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation
OG0000040	MG570132.1_00103 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000041	MG570132.1_00106 hypothetical protein	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation
OG0000042	MG570132.1_00107 hypothetical protein	OQ475017.1_00109 OQ475017.1 - hypothetical protein translation
OG0000043	MG570132.1_00108 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000044	MG570132.1_00110 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000045	MG570132.1_00112 hypothetical protein	OQ475017.1_00114 OQ475017.1 - hypothetical protein translation
OG0000046	MG570132.1_00116 hypothetical protein	OQ475017.1_00118 OQ475017.1 - hypothetical protein translation
OG0000047	MG570132.1_00118 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000048	MG570132.1_00119 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000049	MG570132.1_00001 hypothetical protein	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation
OG0000050	MG570132.1_00006 hypothetical protein	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation
OG0000051	MG570132.1_00014 hypothetical protein	OQ475017.1_00013 OQ475017.1 - hypothetical protein translation
OG0000052	MG570132.1_00025 hypothetical protein	OQ475017.1_00024 OQ475017.1 - hypothetical protein translation
OG0000053	MG570132.1_00036 DNA-directed RNA polymerase subunit 2	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000054	MG570132.1_00037 hypothetical protein	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation
OG0000055	MG570132.1_00073 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000058	MG570132.1_00094 hypothetical protein	OQ475017.1_00095 OQ475017.1 - hypothetical protein translation
OG0000059	MG570132.1_00114 hypothetical protein	OQ475017.1_00116 OQ475017.1 - hypothetical protein translation
OG0000060	MG570132.1_00120 hypothetical protein	OQ475017.1_00122 OQ475017.1 - hypothetical protein translation
OG0000061	MG570132.1_00011 hypothetical protein	OQ475017.1_00010 OQ475017.1 - hypothetical protein translation
OG0000062	MG570132.1_00033 hypothetical protein	OQ475017.1_00032 OQ475017.1 - hypothetical protein translation
OG0000063	MG570132.1_00010 hypothetical protein	OQ475017.1_00009 OQ475017.1 - hypothetical protein translation
OG0000064	MG570132.1_00013 hypothetical protein	OQ475017.1_00012 OQ475017.1 - hypothetical protein translation
OG0000065	MG570132.1_00018 hypothetical protein	OQ475017.1_00017 OQ475017.1 - hypothetical protein translation
OG0000066	MG570132.1_00041 hypothetical protein	OQ475017.1_00040 OQ475017.1 - hypothetical protein translation
OG0000067	MG570132.1_00042 hypothetical protein	OQ475017.1_00041 OQ475017.1 - hypothetical protein translation
OG0000068	MG570132.1_00044 hypothetical protein	OQ475017.1_00043 OQ475017.1 - hypothetical protein translation
OG0000069	MG570132.1_00046 hypothetical protein	OQ475017.1_00045 OQ475017.1 - hypothetical protein translation
OG0000070	MG570132.1_00047 hypothetical protein	OQ475017.1_00046 OQ475017.1 - hypothetical protein translation
