0: AF303741.1.faa
1: AF371960.1.faa
2: AY521625.1.faa
3: AY532606.1.faa
4: AY779031.1.faa
5: AY894343.1.faa
6: BD143114.1.faa
7: GQ273492.1.faa
8: HF920633.1.faa
9: HF920637.1.faa
10: KC244182.1.faa
11: KF938901.1.faa
12: KT804738.1.faa
13: L63545.1.faa
14: LS484712.1.faa
15: MF599468.1.faa
16: MG570131.1.faa
17: MG570132.1.faa
18: MK098185.1.faa
19: MK098186.1.faa
20: MK098187.1.faa
21: MK689685.1.faa
22: MK689686.1.faa
23: MN432490.1.faa
24: MN562489.1.faa
25: MN803438.1.faa
26: MT521409.1.faa
27: MT798582.1.faa
28: MT926123.1.faa
29: MT986830.1.faa
30: MW139932.1.faa
31: NC_005946.1.faa
32: NC_027778.1.faa
33: OK042108.1.faa
34: OK042109.1.faa
35: OL310752.1.faa
36: OL774653.1.faa
37: OL774654.1.faa
38: OL774655.1.faa
39: OM037668.1.faa
40: ON075463.1.faa
41: ON740976.1.faa
42: ON743042.1.faa
43: OP009387.1.faa
44: OQ475017.1.faa
