Genbank Accession,Genetic Information Source,Genus,Species,Virus ('organism name'),Acronym (of organism name),Isolate,Complete or partial genome,Sequence length (bp),Gene,Submitting organisation ,Geogrpahical location sampled,Host,Collection date,Publication DOI,Paper's first author (family name),Paper title,Year paper published ,In vivo or in vitro study,Phylogenetic analysis (yes/no),Platforms and tools (sequencing and other),Notes ,Isolate at ACDP (yes/no),File name,
AF303741,ICTV Iridoviridae Report April 2024,Iridovirus,Invertebrate iridescent virus 6,Invertebrate iridescent virus 6,Not given,Not given,complete,212482,N/A,"University Heidelberg, Institute for Medical Virology, Germany",None given,None given,None given,15 publications,"Delius,H., et al.","Sonntag et al. (1994) 
Chilo iridescent virus encodes a putative helicase belonging to a distinct family within the ""DEAD/H"" superfamily: implications for the evolution of large DNA viruses
Fischer et al. (1988)
Identification and characterization of the repetitive DNA element in the genome of insect iridescent virus type 6
Schnitzler et al. (1994) 
Insect iridescent virus type 6 encodes a polypeptide related to the largest subunit of eukaryotic RNA polymerase II
Delius, Darai & Flugel (1984)
DNA analysis of insect iridescent virus 6: evidence for circular permutation and terminal redundancy
Sonntag & Darai (1992)
Characterization of the third origin of DNA replication of the genome of insect iridescent virus type 6
Jakob, Muller, U Bahr & Darai (2001)
Analysis of the first complete DNA sequence of an invertebrate iridovirus: coding strategy of the genome of Chilo iridescent virus
Muller Tidona & Darai (1999)
Identification of a Gene Cluster within the Genome of Chilo Iridescent Virus Encoding Enzymes Involved in Viral DNA Replication and Processing
Muller, Tidona, U Bahr, Darai (1998)
Identification of a thymidylate synthase gene within the genome of Chilo iridescent virus
Sonntag Schnitzler, Janssen & Darai (1994)
Identification of the primary structure and the coding capacity of the genome of insect iridescent virus type 6 between the genome coordinates 0.310 and 0.347 (7990 bp)
Stohwasser, Raab, Schnitzler and Darai (1993)
Identification of the gene encoding the major capsid protein of insect iridescent virus type 6 by polymerase chain reaction
Stohwasser, Raab, Schnitzler,  Janssen and Darai (1993)
Identification of the Gene Encoding the Major Capsid Protein of Insect Iridescent Virus Type 6 by Polymerase Chain Reaction Free
Schnitzler, Hug, Handermann, Janssen,  Koonin, Delius, Darai (1995)
Identification of genes encoding zinc finger proteins, non-histone chromosomal HMG protein homologue, and a putative GTP phosphohydrolase in the genome of Chilo iridescent virus
P Schnitzler, J B Soltau, M Fischer, H Reisner, J Scholz, H Delius, G Darai (1987)
Molecular cloning and physical mapping of the genome of insect iridescent virus type 6: further evidence for circular permutation of the viral genome
Bahr, Tidona & Darai (1997)
The DNA sequence of Chilo iridescent virus between the genome coordinates 0.101 and 0.391; similarities in coding strategy between insect and vertebrate iridoviruses Handermann, Schnitzler, Rösen-Wolff,  Raab, Sonntag, G Darai (1992)
Identification and mapping of origins of DNA replication within the DNA sequences of the genome of insect iridescent virus type 6
Lorbacher, Gelderblom, Hofmann, Darai (1986)
Insect iridescent virus type 6 induced toxic degenerative hepatitis in mice
",1984 - 2001,"Sonntage et al. (1994) - In vitro
Fischer et al. (1998) - In vitro 
Schnitzler et al. (1994) - In vitro 
Delius, Darai & Flugel (1984) - In vitro
Sonntag & Darai (1992) - In vitro
Jakob, Muller, U Bahr & Darai (2001) - In vitro 
Muller Tidona & Darai (1999) - In vitro
Muller, Tidona, U Bahr, Darai (1998) - In vitro
Sonntag Schnitzler, Janssen & Darai (1994) - In vitro 
Sonntag Schnitzler, Janssen & Darai (1994) - in vitro
Stohwasser, Raab, Schnitzler and Darai (1993) - In vitro
Stohwasser, Raab, Schnitzler,  Janssen and Darai (1993) - In vitro 
Schnitzler, Hug, Handermann, Janssen,  Koonin, Delius, Darai (1995) - in vitro
P Schnitzler, J B Soltau, M Fischer, H Reisner, J Scholz, H Delius, G Darai (1987)- In vitro
Bahr, Tidona & Darai (1997) - In vitro
Lorbacher, Gelderblom, Hofmann, Darai (1986)- In vitro ","Sonntage et al. (1994) - Yes, only of the protein encoding helicase upon which the study was based. 
Fischer et al. (1988) - Can't access journal article. The study looked to identify repetitive gene sequences in the Chilo iridescent virus (CIV).
Schnitzler et al. (1994) - Yes, phylogenetic analysis only of the DNA nucleotide sequence encoding the largest subunit of DdRP (RPO1) upon which the study was based.
Delius, Darai & Flugel (1984) - No, very basic DNA analysis of small insect iridovirus 6 was undertaken.
Sonntag & Darai (1992) - No, the study focused on determining the structure of the third origin of DNA replication in CIV. 
Jakob, Muller, U Bahr & Darai (2001) - Yes, alignment of the amino acid sequences of thymidylate kinases of CIV and other virus speciess. The 
analyses were done with the CLUSTAL, PROTDIST, and KITSCH programs.
Muller Tidona & Darai (1999) - Yes, partically sequenced the CIV genomes and concluded the virus is most closely related to Lymphocytivirus spp. based on the phylogenetic analysis of individual genes. 
Muller, Tidona, U Bahr, Darai (1998) - yes, phylogenetically analysed the relationsips between the amino acid sequence of the thymidylate synthases between a range of species. 
Sonntag Schnitzler, Janssen & Darai (1994) - Couldn't open journal article. From abstract appears to be s similar study to Muller, Tidona, UBahr and Darai (1998).
Sonntag Schnitzler, Janssen & Darai (1994) - As above.
Stohwasser, Raab, Schnitzler and Darai (1993) - Sequenced the gene encoding the major capsid protein and loked at the sequence similarity to the same gene in other species. 
Schnitzler, Hug, Handermann, Janssen,  Koonin, Delius, Darai (1995) -No
P Schnitzler, J B Soltau, M Fischer, H Reisner, J Scholz, H Delius, G Darai - No, Established gene library for CIV. 
Bahr, Tidona & Darai (1997) - Yes, looked at the relationships between certain genes with other closely related irivodiridae. 
Lorbacher, Gelderblom, Hofmann, Darai (1986) - No","Sonntage et al. (2024) - Squencing was achieved though dideocy chain termination abnd alignments done in MACAW
Fischer et al. (1988) - Can't access journal article
Schnitzler et al. (1994) - not reviewed for platforms and tools.
Delius, Darai & Flugel (1984) - not reviewed for platforms and tools.
Sonntag & Darai (1992) - not reviewed for platforms and tools. 
Jakob, Muller, U Bahr & Darai (2001) - Not reviewed for platforms and tools. 
Muller Tidona & Darai (1999) - Not reviewed for platforms and tools. 
Muller, Tidona, U Bahr, Darai (1998) - Not reviewed for platforms and tools. 
Sonntag Schnitzler, Janssen & Darai (1994) -Not reviewed for platforms and tools. 
Sonntag Schnitzler, Janssen & Darai (1994) - Not reviewed for platforms and tools
Stohwasser, Raab, Schnitzler,  Janssen and Darai (1993)- Not reviewed for platforms and tools 
Schnitzler, Hug, Handermann, Janssen,  Koonin, Delius, Darai (1995) - Not reviewed for platforms and tools 
P Schnitzler, J B Soltau, M Fischer, H Reisner, J Scholz, H Delius, G Darai (1987) - Not reviewed for platforms and tools 
Bahr, Tidona & Darai (1997) - Not reviewed for platforms and tools 
Lorbacher, Gelderblom, Hofmann, Darai (1986) - Not reviewed for platforms and tools",,No,AF303741.1,
AY894343 (verison 1),ICTV (Megalocytivirus Report),Megalocytivirus,Megalocytivirus pagrus1,Orange spotted grouper iridovirus,OSGIV,N/A,Complete,112636,121 ORFs were identified/ Many shared homologies to other iridovirus genes.,"State Key Laboratory for Biocontrol, School of Life Sciences",China,Epinephelus coioides (orange-spotted grouper),2002,10.1016/j.virol.2005.05.021,Lu,Complete genome sequence analysis of an iridovirus isolated from the orange-spotted grouper.,2005,"In vitro
Diseased fish were obtained from aquatic farms  China in 2002 when an outbreak of the disease occurred. 

The diseased fish were examined for gross signs of infection and were checked for signs of infection by histology. 

Some samples were stored at −80 °C, then were examined by PCR to confirm the disease.","Yes, the phylogenetic trees were generated using the PHYLIP package and the TreeView. The trees were based on comparisons of the ATPase, MCP and and cytosine DNA methyl transferase (DMet), DNA polymerase of OSGIV ","Genomic DNA composition, structure, and homologous regions were analysed using DNASTAR.

ORFs and their amino acid sequences were predicted using DS GENE 1.5 (Accelrys Inc.) and NCBI ORF finder.

Protein database searches were conducted using the BLASTP at NCBI Web site.

Alignment of amino acid sequences of the major capsid protein, ATPase, cytosine DNA methyl transferase, and DNA polymerase were obtained by Clustal-X 1.80","The paper noted that the genome sequenced in this study contained numerous short
direct, inverted, and palindromic repetitive sequences. ",No,,
AF371960 (version 1),ICTV (Megalocytivirus Report),Megalocytivirus,Megalocytivirus pagrus1,Infectious spleen and kidney necrosis virus,ISKNV,N/A,Complete,111362,Around 120 ORF with 35 closely related to protien encoding genes in other species. ,"Zhongshan University, School of Life Sciences",None given,Siniperca chuatsi (mandarin fish),None given,10.1006/viro.2001.1208,He,Complete genome analysis of the mandarin fish infectious spleen and kidney necrosis iridovirus,2001,"In vitro
Spleen and kidney of moribund mandarin fish that showed symptoms of ISKNV infection were collected and kept at -80°C from fish
farms  China in 1998. 

The samples were examined by gross anatomy, PCR, and light and electron microscopy for confirmation of the disease.","Yes - used CLUSTAL V algorithm within MEGALIGN (DNASTAR) to construct phylogenetic trees. Phylogenetic trees were based on multiple alignment of the amino acid sequence major protein of iridoviruses,  cytosine DNA methyltransferase of vertebrate iridoviruses (B), ATPase of viruses (C) and the DNA polymerase of organisms (D).","The DNA and the deduced amino acid sequences were compared with the updated GenBank/EMBL/DDBJ, SWISSPROT, and PIR databases using FASTA and BLAST.

Nucleotide and amino acid sequences were compiled
and analyzed using the DNASTAR and Omiga 2.0 programs.","Exemplar Isolate of species accoridng to ICTV

Describes the organization of the ISKNV genome and report the complete DNA sequence and compares it to sequence data from genes of other species.",No,AF371960.1,
AY521625,ICTV Iridoviridae Report April 2024,Ranavirus,Singapore grouper iridovirus,Singapore grouper iridovirus,Not given,None given,complete,140131,N/A,"National University of Singapore, 1 Department of Biological Sciences, 2 Tropical Marine Science Institute",None given,None given,None given,10.1128/JVI.78.22.12576-12590.2004,"Song,W.J., et al.",Functional genomics analysis of Singapore grouper iridovirus: complete sequence determination and proteomic analysis,2004,In vitro,"Yes, phylogenetic relationship of SGIV with other iridoviruses using  protein
sequences encoding MCP and ATPase. Didn’t provide methods for phylogenetic analysis.","A program called Vector NTI Suite 7.1 (InforMax Inc., Frederick, Mass.), created the contigs, did the assemby, identified ORFs, reviewed presumptive genes, and drew a genomic map. Putitive proteins
were reviewed using the PROSITE database.",,,AY521625.1,
AY532606,ICTV(Megalocytivirus report) and Genbank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,KOR-TY1,Complete,112000,29 ORFs with a lot of homology to functional proteins of other species and 31 ORFs of unknown function with no homology to other iridoviruses.,"University of Ulsan, Department of Biological Sciences, Korea",Korea,Oplegnathus fasciatus (rock bream),None given,10.1016/j.virol.2004.05.008,Do,Complete genomic DNA sequence of rock bream iridovirus,2004,"In Vitro
Virus isolation, PCR amplification, sequencing and sequence analysis. 

For the virus isolation componant the virus sample was from moribund rock bream cultured at a fish farm in Korea during epizootics in 2000. 

Virus stocks were amplified by an infection of the GF cells. ","Yes -  sequences were aligned using CLUSTAL W and  the phylogenetic tree was constructed with the TreeView.

The phylogenetic relationships among species were determined using the neighbor-joining method and the reliability of the NJ tree was inferred using the Felsenstein (1985) bootstrap method with 1000 replicates. The phylogenetic analysis was based on three genes, major capsid protein (MCP), DNA repair protein RAD2, and DNA polymerase type-B family.",The DNA and the deduced amino acid sequences were compared with the GenBank/EMBL databases using BLAST.,None ,No,AY532606.1,
AY779031,ICTV (Megalocytivirus Report),Megalocytivirus,Megalocytivirus pagrus1,Large yellow croaker iridovirus,LYCIV,N/A,Complete,111767,126 predicted ORFs.,"Third Institute of Oceanography, State Oceanic Administration, Key Laboratory of Marine Biotechnology",China,Larimichthys crocea,None given,https://doi.org/10.1016/j.virol.2006.07.004,Ao,Identification and characterization of a novel gene encoding an RGD-containing protein in large yellow croaker iridovirus,2006,"In vitro
LYCIV was isolated from the diseased large yellow croaker and grown in BF-2 cells.

Following that, sequence and computer-assisted analysis of one specific novel gene (LYCI 037L) was undertaken. ",No,The authors analysed the biological activity of RGD motifs in ORFs using SURFC and STRIDE software. ,"This paper doesn't describe or characterise the whole genome. It only discussses one novel gene (LYCI 037L) which the authors believe transcribes a virus structural protein. 

The authors sought to identify genes transcribing proteins which contain RGDs. This is as  RGD-containing proteins have been said to be involved in virus attachment and entry. LYCI 037L is an RGD-containing protein.

The authors state that the complete genomic DNA sequence of LYCIV has already been determined, which consisted of 111767 bp and contained 126 predicted ORFs (unpublished data; accession no. AY779031).",No,AY779031.1,
BD143114,ICTV (Megalocytivirus Report),Megalocytivirus,Megalocytivirus pagrus1,Red sea bream iridovirus,RSIV,Ehime-1,Complete,112414,Sequencing revealed 93 plausable ORFs.,?,?,?,?,Unpublished (?) No pubmed link in ICTV,N/A,"From ICTV: DNA encoding virus-neutralization and phylaxis-related protein of res sea bream iridovirus

From Google Scholar: Found paper referring to the whole genome sequence of the isolate on Google Scholar titled 'Complete genome sequencing of Red Sea Bream Iridovirus' Kurita et al. (2002)",2002,"In vitro 
Ehime-1 strain of RSIV was propagated in GF cells for PCR amplification, sequencing and sequence analysis. ","Yes - Does report phylogenetic position of the RSIV strain in comparison to other megalocytiviruses but omits information about the tools and methods used as part of this analysis. The paper references other papers when refering to the phylogenic analysis, which I assume contain tdetails of a) the neighbour joing methof and b) a substitution model. ","Construction of the genomic library used E coli as a host. The paper statets that 'inserted DNA fragments of the library were sequenced using an automated DNA sequencer'. 

Complete DNA sequence of the entire genome was done by looking at the overlapping relations of each fragment sequence. 

The paper states: 'Deficits of a few uncovered sequences were determined by PCR followed by cloning and sequencing of amplimers or the direct sequencing of them'.",,"Yes
Microstore: 0405-25-1030	
SAN: 03-02083 Provided by Jun Kurita",BD143114.1,
GQ273492,ICTV (Megalocytivirus Report),Megalocytivirus,Megalocytivirus pagrus1,Turbot reddish body iridovirus,TRBIV,N/A,Complete,110104,The 115 ORFs contained 26 core genes that can be found in all iridoviral genomes.,"Yellow Sea Fisheries Research Institute, Maricultural Organism Disease Control and Pathogenic Molecular Biology Laboratory, China",China,Scophthalmus maximus,2006-10,10.1186/1743-422X-7-159,Shi,Complete genome sequence of a Megalocytivirus (family Iridoviridae) associated with turbot mortality in China,2010,"In Vitro 

TRBIV used in this study was originally isolated from cultured turbot disease.  Histopathology was done to help identify the pathogen. 

The spleens and kidneys were removed and the viruses were observed by light and electron microscopy. 

PCR was performed for further confirmation of the disease. These samples were collected and kept at -80°C for future use.","Yes - phylogenetic relationships of iridoviruses obtained were analysed using four protein sequence alignments: (A) major capsid protein, (B) ATPase, (C) DNA polymerase, and (D) cytosine DNA methyl transferase. Alignments with genes of the virus in this study were done against other iridoviruses and non-iridoviruses from GenBank.

The alignments were carried out using Clustal X 1.83 and the neighbor-joining trees were obtained using PHYLIP 3.67.","The prediction of presumptive genes was carried out using the DS GENE 1.5 viral gene prediction program (Accelrys Inc.) and NCBI ORF finder. 

The deduced gene products of the ORFs were compared to amino acid sequences by the NCBI BLAST program.","Among the sequenced Megalocytivirus, the size of TRBIV genome was the smallest, comparing with that of ISKNV.",No ,GQ273492.1,
KR139659,ICTV,Megalocytivirus,Megalocytivirus lates1,Scale drop disease virus,FLIV,C4575,Partial ,124244,"The partical genome contained 'no less that 129 ORFs'. A Blastn search showed that the closest relatives are among the megalocytiviruses, however, the identity was low (depending on the gene, at most 60%). 

No gene annotation work done. ","Academic Medical Center Amsterdam, Laboratory of Experimental Virology, Netherlands",Singapore,Lates calcarifer,2010-12,https://doi.org/10.1371/journal.ppat.1005074,De Groof,A Novel Virus Causes Scale Drop Disease in Lates calcarifer,2015,,Yes - Deduced amino acid sequences of 26 conserved genes were aligned with the corresponding genes of Iridoviridae of which the full length genome sequence is available. The genes of each virus were placed in the same order and the total was used for phylogenetic analysis. The neighbor-joining method with pairwise deletion within the MEGA-5 package was used.,"In this study the VIDISCA library of sera of fish affected by scale drop syndrome was sequenced via Roche-454 next generation sequencing, enabling identification and characterization ofa novel virus.

The near complete genome sequence ofthe novel virus was obtained via genome walking.",ACDP got SDDV isolares from the Netherlands from de Groof,,,
HF920633,ICTV Iridoviridae Report April 2024,Chloriridovirus,Invertebrate iridovirus 22,Invertebrate iridovirus 22,Not given,Not given,complete,204815,N/A,"Equipe 10, Plasticite Genomique et Expression Phen, UMR INRA-CNRS 7247, Physiologie de la Reproduction, Centre INRA de Val de Loire, Nouzilly Cedex - Fran, 37380, France",None given,None given,None given,10.1099/vir.0.054213-0,Piegu,Complete genome sequence of invertebrate iridescent virus 22 isolated from a blackfly larva,2013,In vitro,No,"The library construction and sequencing were done as descirbed in Henn et al., (2010). Hen et al (2010) reccomended preparation of genomic DNA samples  directly from phage lysate, combined with 454 pyrosequencing. Hen et al (2010) also provided an automated annotation bioinformatics pipeline.

The authors used 'evidence-based and ab initio gene prediction algorithms' to identify putative genes, followed by the formation of a consensus gene using. This was done using a 'rules-based evidence approach'. ",This paper provides the complete annotated genome sequence of the virus.,No,HF920633.1,
HF920637,ICTV Iridoviridae Report April 2024,Iridovirus,Invertebrate iridescent virus 31,Armadillidium vulgare iridescent virus,Not given,Not given,complete,220222,N/A,"Equipe 10, Plasticite Genomique et Expression Phen, UMR INRA-CNRS 7247, Physiologie de la Reproduction, Centre INRA de Val de Loire, Nouzilly Cedex, 37380, France",None given,None given,None given,10.1099/vir.0.066076-0,Piegu,"Genome sequence of a crustacean iridovirus, IIV31, isolated from the pill bug, Armadillidium vulgare",2014,In vitro,No,"Genomes were assembles de novo using the Newbler v2.3 assembly software. The authors used 'evidence-based and ab initio gene prediction algorithms' to identify putative genes, followed by the formation of a consensus gene using. This was done using a 'rules-based evidence approach'. ",This paper provides the complete annotated genome sequence of the virus.,No,HF920637.1,
