Accession,Genus,Species,Genotype,Organism name,Length ,Sample location ,Host,Year,RSIV_sequence_similarity,ISKNV_sequence_similarity,TRBIV_sequence_similarity,SDDV_sequence_similarity,TSIV
AY894343 ,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Orange spotted grouper iridovirus,112636,China,Epinephelus coioides (orange-spotted grouper),2002,99.96,92.44,91.76,<80,<80
AF371960 ,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Infectious spleen and kidney necrosis virus,111362,China,Siniperca chuatsi (mandarin fish),1998,92.2,100,91.88,<80,<80
AY532606,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Rock bream iridovirus ,112000,Korea,Oplegnathus fasciatus (rock bream),Unknown,99.56,92.35,91.46,<80,<80
AY779031,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Large yellow croaker iridovirus,111767,China,Larimichthys crocea,Unknown,95.1,94.28,91.61,<80,<80
BD143114,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red sea bream iridovirus,112414,Unknown,Unknown,Unknown,96.87,92.18,91.65,<80,<80
GQ273492,Megalocytivirus,Megalocytivirus pagrus1,TRBIV,Turbot reddish body iridovirus,110104,China,Scophthalmus maximus,2005,91.81,91.84,100,<80,<80
KC244182,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Rock bream iridovirus ,112333,China,Oplegnathus fasciatus,2009,99.87,92.38,91.66,<80,<80
MT926123,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Banggai cardinalfish iridovirus isolate,111920,USA,Pterapogon kauderni,2017,92.32,99.97,91.75,<80,76.37
MN432490,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Banggai cardinalfish iridovirus isolate,112618,Indonesia,Pterapogon kauderni,2012,92.53,98.21,91.88,<80,<80
KT804738,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Giant sea perch iridovirus - K1 (GSIV-K1),112565,"Taiwean, Kaohsiung",Lates calcarifer,2006,99.98,92.41,91.73,<80,<80
MG570131,Megalocytivirus,Unclassified ,TRBIV,South American cichlid iridovirus,111347,USA,Cleithracara maronii,1990,91.01,91.23,95.54,<80,<80
MG570132,Megalocytivirus,Unclassified ,TRBIV,Three spot gourami iridovirus,111591,USA,Trichopodus trichopterus,1989,91.04,91.21,95.53,<80,<80
MK098185,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Pompano iridovirus,112052,Dominican Republic,Trachinotus carolinus,2010,96.92,92.48,91.69,<80,<80
MK098186,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Pompano iridovirus,112377,Dominican Republic,Trachinotus carolinus,2014,96.9,92.53,91.65,<80,<80
MK098187,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Pompano iridovirus,112052,Dominican Republic,Trachinotus carolinus,2016,96.91,92.29,91.61,<80,<80
MK689685,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Angelfish iridovirus AFIV-16,111127,Singapore,Pterophyllum scalare,2016,92.17,99.95,91.87,<80,<80
MK689686,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red sea bream iridovirus,112710,Japan,Seriola quinqueradiata,1996,100,92.4,91.76,<80,<80
MN562489,Megalocytivirus,Megalocytivirus lates1,SDDV,Scale drop disease virus,131129,Thailand,Lates calcarifer,2018,<80,<80,<80,99.91,<80
MT521409,Megalocytivirus,Megalocytivirus lates1,SDDV,Scale drop disease virus,131276,Thailand,Lates calcarifer,2019,<80,<80,<80,100,<80
MT798582,Megalocytivirus,Megalocytivirus pagrus1,RSIV,Red sea bream iridovirus,111557,India: Mangalore,Lates calcarifer,2018,99.72,92.25,91.7,<80,<80
MT986830,Megalocytivirus,Megalocytivirus pagrus1,ISKNV,Spotted knifejaw iridovirus,111198,China,Oplegnathus punctatus,2017,93.26,98.03,91.88,<80,<80
MW139932,Megalocytivirus,Megalocytivirus pagrus1,RSIV,large yellow croaker iridovirus ,112043,China,Larimichthys crocea,2020,97.12,92.2,92.48,<80,<80
