Orthogroup	KX643370	MG570132
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	MG570132.1_00031 hypothetical protein
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	MG570132.1_00009 hypothetical protein
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	MG570132.1_00016 hypothetical protein
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	MG570132.1_00030 hypothetical protein
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	MG570132.1_00110 hypothetical protein
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	MG570132.1_00005 hypothetical protein
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	MG570132.1_00008 Major capsid protein
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	MG570132.1_00023 hypothetical protein
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	MG570132.1_00032 hypothetical protein
OG0000009	Lymph_LDV3_KX643370_00040 hypothetical protein	MG570132.1_00034 hypothetical protein
OG0000010	Lymph_LDV3_KX643370_00049 hypothetical protein	MG570132.1_00036 DNA-directed RNA polymerase subunit 2
OG0000011	Lymph_LDV3_KX643370_00044 hypothetical protein	MG570132.1_00057 hypothetical protein
OG0000012	Lymph_LDV3_KX643370_00094 hypothetical protein	MG570132.1_00063 hypothetical protein
OG0000013	Lymph_LDV3_KX643370_00075 hypothetical protein	MG570132.1_00083 hypothetical protein
OG0000014	Lymph_LDV3_KX643370_00061 hypothetical protein	MG570132.1_00087 hypothetical protein
OG0000015	Lymph_LDV3_KX643370_00095 hypothetical protein	MG570132.1_00103 hypothetical protein
OG0000016	Lymph_LDV3_KX643370_00056 hypothetical protein	MG570132.1_00118 hypothetical protein
OG0000017	Lymph_LDV3_KX643370_00091 hypothetical protein	MG570132.1_00119 hypothetical protein
OG0000018	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	MG570132.1_00028 Ribonucleoside-diphosphate reductase small chain
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	MG570132.1_00073 hypothetical protein
OG0000020	Lymph_LDV3_KX643370_00126 hypothetical protein	MG570132.1_00084 hypothetical protein
OG0000021	Lymph_LDV3_KX643370_00055 hypothetical protein	MG570132.1_00092 hypothetical protein
OG0000022	Lymph_LDV3_KX643370_00135 hypothetical protein	MG570132.1_00108 hypothetical protein
OG0000023	Lymph_LDV3_KX643370_00089 hypothetical protein	MG570132.1_00045 hypothetical protein
OG0000024	Lymph_LDV3_KX643370_00001 hypothetical protein	MG570132.1_00006 hypothetical protein
OG0000026	Lymph_LDV3_KX643370_00015 hypothetical protein	MG570132.1_00085 hypothetical protein
OG0000027	Lymph_LDV3_KX643370_00119 hypothetical protein	MG570132.1_00106 hypothetical protein
OG0000028	Lymph_LDV3_KX643370_00096 hypothetical protein	MG570132.1_00048 hypothetical protein
