Orthogroup	KX643370	LS484712
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	LS484712.1_00114 hypothetical protein
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000009	Lymph_LDV3_KX643370_00040 hypothetical protein	LS484712.1_00240 hypothetical protein
OG0000010	Lymph_LDV3_KX643370_00049 hypothetical protein	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000011	Lymph_LDV3_KX643370_00044 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000012	Lymph_LDV3_KX643370_00094 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000013	Lymph_LDV3_KX643370_00075 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000014	Lymph_LDV3_KX643370_00061 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000015	Lymph_LDV3_KX643370_00095 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000016	Lymph_LDV3_KX643370_00056 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000017	Lymph_LDV3_KX643370_00091 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000018	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000023	Lymph_LDV3_KX643370_00089 hypothetical protein	LS484712.1_00117 hypothetical protein
OG0000132	Lymph_LDV3_KX643370_00121 hypothetical protein	LS484712.1_00057 hypothetical protein
OG0000134	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit
OG0000135	Lymph_LDV3_KX643370_00145 hypothetical protein	LS484712.1_00063 hypothetical protein
OG0000141	Lymph_LDV3_KX643370_00043 hypothetical protein	LS484712.1_00197 hypothetical protein
