Orthogroup	KX643370	ON743042
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	MK689686.1_00029 hypothetical protein
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	MK689686.1_00008 hypothetical protein
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	MK689686.1_00014 hypothetical protein
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	MK689686.1_00028 hypothetical protein
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	MK689686.1_00112 hypothetical protein
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	MK689686.1_00005 hypothetical protein
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	MK689686.1_00007 Major capsid protein
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	MK689686.1_00021 hypothetical protein
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	MK689686.1_00030 hypothetical protein
OG0000009	Lymph_LDV3_KX643370_00040 hypothetical protein	MK689686.1_00032 hypothetical protein
OG0000010	Lymph_LDV3_KX643370_00049 hypothetical protein	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000011	Lymph_LDV3_KX643370_00044 hypothetical protein	MK689686.1_00056 hypothetical protein
OG0000012	Lymph_LDV3_KX643370_00094 hypothetical protein	MK689686.1_00062 hypothetical protein
OG0000013	Lymph_LDV3_KX643370_00075 hypothetical protein	MK689686.1_00084 hypothetical protein
OG0000014	Lymph_LDV3_KX643370_00061 hypothetical protein	MK689686.1_00088 hypothetical protein
OG0000015	Lymph_LDV3_KX643370_00095 hypothetical protein	MK689686.1_00105 hypothetical protein
OG0000016	Lymph_LDV3_KX643370_00056 hypothetical protein	MK689686.1_00120 hypothetical protein
OG0000017	Lymph_LDV3_KX643370_00091 hypothetical protein	MK689686.1_00121 hypothetical protein
OG0000018	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	MK689686.1_00074 hypothetical protein
OG0000020	Lymph_LDV3_KX643370_00126 hypothetical protein	MK689686.1_00085 hypothetical protein
OG0000021	Lymph_LDV3_KX643370_00055 hypothetical protein	MK689686.1_00093 hypothetical protein
OG0000022	Lymph_LDV3_KX643370_00135 hypothetical protein	MK689686.1_00110 hypothetical protein
OG0000023	Lymph_LDV3_KX643370_00089 hypothetical protein	MK689686.1_00043 hypothetical protein
OG0000024	Lymph_LDV3_KX643370_00001 hypothetical protein	MK689686.1_00006 hypothetical protein
OG0000026	Lymph_LDV3_KX643370_00015 hypothetical protein	MK689686.1_00086 hypothetical protein
OG0000027	Lymph_LDV3_KX643370_00119 hypothetical protein	MK689686.1_00108 hypothetical protein
OG0000028	Lymph_LDV3_KX643370_00096 hypothetical protein	MK689686.1_00046 hypothetical protein
