Orthogroup	KX643370	MT521409
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	OM037668.1_00035 hypothetical protein
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	OM037668.1_00056 hypothetical protein
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	OM037668.1_00050 hypothetical protein
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	SDDV_ORF038 Flap endonuclease
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	OM037668.1_00077 hypothetical protein
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	OM037668.1_00013 hypothetical protein
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	OM037668.1_00057 Major capsid protein
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	OM037668.1_00041 hypothetical protein
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	OM037668.1_00123 hypothetical protein
OG0000009	Lymph_LDV3_KX643370_00040 hypothetical protein	OM037668.1_00124 hypothetical protein
OG0000010	Lymph_LDV3_KX643370_00049 hypothetical protein	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000011	Lymph_LDV3_KX643370_00044 hypothetical protein	OM037668.1_00098 hypothetical protein
OG0000012	Lymph_LDV3_KX643370_00094 hypothetical protein	OM037668.1_00009 hypothetical protein
OG0000013	Lymph_LDV3_KX643370_00075 hypothetical protein	OM037668.1_00090 hypothetical protein
OG0000014	Lymph_LDV3_KX643370_00061 hypothetical protein	OM037668.1_00084 hypothetical protein
OG0000015	Lymph_LDV3_KX643370_00095 hypothetical protein	OM037668.1_00073 hypothetical protein
OG0000016	Lymph_LDV3_KX643370_00056 hypothetical protein	OM037668.1_00078 hypothetical protein
OG0000017	Lymph_LDV3_KX643370_00091 hypothetical protein	OM037668.1_00004 hypothetical protein
OG0000018	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	OM037668.1_00021 hypothetical protein
OG0000020	Lymph_LDV3_KX643370_00126 hypothetical protein	OM037668.1_00089 hypothetical protein
OG0000021	Lymph_LDV3_KX643370_00055 hypothetical protein	OM037668.1_00080 hypothetical protein
OG0000022	Lymph_LDV3_KX643370_00135 hypothetical protein	OM037668.1_00076 hypothetical protein
OG0000023	Lymph_LDV3_KX643370_00089 hypothetical protein	OM037668.1_00113 hypothetical protein
OG0000024	Lymph_LDV3_KX643370_00001 hypothetical protein	SDDV_ORF011 Tripartite motif-containing protein, OM037668.1_00129 hypothetical protein
OG0000026	Lymph_LDV3_KX643370_00015 hypothetical protein	OM037668.1_00087 hypothetical protein
OG0000027	Lymph_LDV3_KX643370_00119 hypothetical protein	OM037668.1_00074 hypothetical protein
OG0000028	Lymph_LDV3_KX643370_00096 hypothetical protein	OM037668.1_00110 hypothetical protein
OG0000119	Lymph_LDV3_KX643370_00009 hypothetical protein, Lymph_LDV3_KX643370_00017 hypothetical protein	OM037668.1_00062 hypothetical protein
OG0000136	Lymph_LDV3_KX643370_00042 Thymidylate synthase	OM037668.1_00068 Thymidylate synthase
OG0000143	Lymph_LDV3_KX643370_00085 hypothetical protein, Lymph_LDV3_KX643370_00100 hypothetical protein, Lymph_LDV3_KX643370_00012 hypothetical protein	OM037668.1_00036 hypothetical protein
OG0000144	Lymph_LDV3_KX643370_00041 Serine proteinase inhibitor 2	OM037668.1_00015 Serine proteinase inhibitor 1, OM037668.1_00071 Serine proteinase inhibitor 2
OG0000150	Lymph_LDV3_KX643370_00047 hypothetical protein	OM037668.1_00001 hypothetical protein
OG0000201	Lymph_LDV3_KX643370_00114 hypothetical protein	OM037668.1_00088 hypothetical protein
