Orthogroup	KX643370	HF920637
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000009	Lymph_LDV3_KX643370_00040 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000010	Lymph_LDV3_KX643370_00049 hypothetical protein	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000011	Lymph_LDV3_KX643370_00044 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000012	Lymph_LDV3_KX643370_00094 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000013	Lymph_LDV3_KX643370_00075 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000014	Lymph_LDV3_KX643370_00061 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000015	Lymph_LDV3_KX643370_00095 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000016	Lymph_LDV3_KX643370_00056 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000017	Lymph_LDV3_KX643370_00091 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000018	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000020	Lymph_LDV3_KX643370_00126 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000021	Lymph_LDV3_KX643370_00055 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000022	Lymph_LDV3_KX643370_00135 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000023	Lymph_LDV3_KX643370_00089 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000126	Lymph_LDV3_KX643370_00132 hypothetical protein, Lymph_LDV3_KX643370_00076 hypothetical protein, Lymph_LDV3_KX643370_00108 hypothetical protein, Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein	HF920637.1_00138 HF920637.1 - hypothetical protein translation
OG0000132	Lymph_LDV3_KX643370_00121 hypothetical protein	HF920637.1_00219 HF920637.1 - hypothetical protein translation
OG0000134	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000135	Lymph_LDV3_KX643370_00145 hypothetical protein	HF920637.1_00181 HF920637.1 - hypothetical protein translation
OG0000136	Lymph_LDV3_KX643370_00042 Thymidylate synthase	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation
OG0000141	Lymph_LDV3_KX643370_00043 hypothetical protein	HF920637.1_00014 HF920637.1 - hypothetical protein translation
OG0000148	Lymph_LDV3_KX643370_00140 hypothetical protein	HF920637.1_00168 HF920637.1 - hypothetical protein translation
OG0000155	Lymph_LDV3_KX643370_00090 hypothetical protein	HF920637.1_00072 HF920637.1 - hypothetical protein translation
OG0000200	Lymph_LDV3_KX643370_00020 hypothetical protein	HF920637.1_00024 HF920637.1 - hypothetical protein translation
