Orthogroup	AF303741	AF371960	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT521409	MT798582	MT926123	MT986830	MW139932	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON740976	ON743042	OP009387	OQ475017
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	AF371960.1_00031 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	GQ273492.1_00030 hypothetical protein	HF920633.1_00044 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2	MK689686.1_00029 hypothetical protein	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	MK689686.1_00029 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein	LS484712.1_00114 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	MG570131.1_00031 hypothetical protein	MG570132.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	OM037668.1_00035 hypothetical protein	MN803438.1_00124 hypothetical protein	OM037668.1_00035 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	NC_005946.1_00010 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	OM037668.1_00035 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	AF303741.1_00035 hypothetical protein	AF371960.1_00015 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	GQ273492.1_00015 hypothetical protein	HF920633.1_00127 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation	MK689686.1_00014 hypothetical protein	KF938901.1_00005 hypothetical protein	MK689686.1_00014 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein	LS484712.1_00187 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation	MG570131.1_00016 hypothetical protein	MG570132.1_00016 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	AF371960.1_00015 hypothetical protein	MK689686.1_00014 hypothetical protein	AF371960.1_00015 hypothetical protein	OM037668.1_00050 hypothetical protein, SDDV_ORF050 RING E3 ubiquitin ligase	MN803438.1_00113 hypothetical protein	OM037668.1_00050 hypothetical protein	MK689686.1_00014 hypothetical protein	AF371960.1_00015 hypothetical protein	AF371960.1_00015 hypothetical protein	MK689686.1_00014 hypothetical protein	NC_005946.1_00057 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	OM037668.1_00050 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	AF371960.1_00015 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000002	AF303741.1_00047 hypothetical protein	AF371960.1_00008 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	GQ273492.1_00008 hypothetical protein	HF920633.1_00069 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation	MK689686.1_00008 hypothetical protein	KF938901.1_00080 hypothetical protein	MK689686.1_00008 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	LS484712.1_00095 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation	MG570131.1_00009 hypothetical protein	MG570132.1_00009 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	OM037668.1_00056 hypothetical protein	MN803438.1_00101 hypothetical protein	OM037668.1_00056 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	NC_005946.1_00053 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	OM037668.1_00056 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000003	AF303741.1_00165 hypothetical protein	AF371960.1_00030 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	GQ273492.1_00029 hypothetical protein	HF920633.1_00043 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation	MK689686.1_00028 hypothetical protein	KF938901.1_00067 hypothetical protein	MK689686.1_00028 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein	LS484712.1_00248 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation	MG570131.1_00030 hypothetical protein	MG570132.1_00030 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	AF371960.1_00030 hypothetical protein	MK689686.1_00028 hypothetical protein	AF371960.1_00030 hypothetical protein	SDDV_ORF038 Flap endonuclease	MN803438.1_00106 hypothetical protein	SDDV_ORF038 Flap endonuclease	MK689686.1_00028 hypothetical protein	AF371960.1_00030 hypothetical protein	AF371960.1_00030 hypothetical protein	MK689686.1_00028 hypothetical protein	NC_005946.1_00095 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	SDDV_ORF038 Flap endonuclease	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	AF371960.1_00030 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	AF303741.1_00176 hypothetical protein	AF371960.1_00113 hypothetical protein	AY521625.1_00142 AY521625.1 - hypothetical protein translation	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	GQ273492.1_00110 hypothetical protein	HF920633.1_00122 hypothetical protein	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation	MK689686.1_00112 hypothetical protein	KF938901.1_00114 hypothetical protein	MK689686.1_00112 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein	LS484712.1_00130 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation	MG570131.1_00110 hypothetical protein	MG570132.1_00110 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	OM037668.1_00077 hypothetical protein	MN803438.1_00109 hypothetical protein	OM037668.1_00077 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein	NC_005946.1_00092 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	OM037668.1_00077 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	MK689686.1_00112 hypothetical protein	AF371960.1_00113 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000005	AF303741.1_00006 hypothetical protein	AF371960.1_00064 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation	MK689686.1_00062 hypothetical protein	MK689686.1_00062 hypothetical protein	GQ273492.1_00063 hypothetical protein	HF920633.1_00118 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation	MK689686.1_00062 hypothetical protein	KF938901.1_00092 hypothetical protein	MK689686.1_00062 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein	LS484712.1_00203 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation	MG570131.1_00063 hypothetical protein	MG570132.1_00063 hypothetical protein	MK689686.1_00062 hypothetical protein	MK689686.1_00062 hypothetical protein	MK689686.1_00062 hypothetical protein	AF371960.1_00064 hypothetical protein	MK689686.1_00062 hypothetical protein	AF371960.1_00064 hypothetical protein	OM037668.1_00009 hypothetical protein	MN803438.1_00049 hypothetical protein	OM037668.1_00009 hypothetical protein	MK689686.1_00062 hypothetical protein	AF371960.1_00064 hypothetical protein	AF371960.1_00064 hypothetical protein	MK689686.1_00062 hypothetical protein	NC_005946.1_00011 hypothetical protein	MK689686.1_00062 hypothetical protein	MK689686.1_00062 hypothetical protein	MK689686.1_00062 hypothetical protein	MK689686.1_00062 hypothetical protein	MK689686.1_00062 hypothetical protein	OM037668.1_00009 hypothetical protein	MK689686.1_00062 hypothetical protein	MK689686.1_00062 hypothetical protein	MK689686.1_00062 hypothetical protein	AF371960.1_00064 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000006	AF303741.1_00011 hypothetical protein	AF371960.1_00021 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	GQ273492.1_00022 hypothetical protein	HF920633.1_00001 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation	MK689686.1_00021 hypothetical protein	KF938901.1_00054 hypothetical protein	MK689686.1_00021 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein	LS484712.1_00200 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation	MG570131.1_00023 hypothetical protein	MG570132.1_00023 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	OM037668.1_00041 hypothetical protein	MN803438.1_00128 hypothetical protein	OM037668.1_00041 hypothetical protein	MK689686.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	NC_005946.1_00060 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	OM037668.1_00041 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000007	AF303741.1_00023 hypothetical protein	AF371960.1_00057 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	GQ273492.1_00056 hypothetical protein	HF920633.1_00067 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation	MK689686.1_00056 hypothetical protein	KF938901.1_00060 hypothetical protein	MK689686.1_00056 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein	LS484712.1_00143 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation	MG570131.1_00057 hypothetical protein	MG570132.1_00057 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	AF371960.1_00057 hypothetical protein	MK689686.1_00056 hypothetical protein	AF371960.1_00057 hypothetical protein	OM037668.1_00098 hypothetical protein	MN803438.1_00007 hypothetical protein	OM037668.1_00098 hypothetical protein	MK689686.1_00056 hypothetical protein	AF371960.1_00057 hypothetical protein	AF371960.1_00057 hypothetical protein	MK689686.1_00056 hypothetical protein	NC_005946.1_00022 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	OM037668.1_00098 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	AF371960.1_00057 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000008	AF303741.1_00026 hypothetical protein	AF371960.1_00121 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation	MK689686.1_00120 hypothetical protein	MK689686.1_00120 hypothetical protein	GQ273492.1_00118 hypothetical protein	HF920633.1_00138 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation	MK689686.1_00120 hypothetical protein	KF938901.1_00074 hypothetical protein	MK689686.1_00120 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein	LS484712.1_00202 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation	MG570131.1_00118 hypothetical protein	MG570132.1_00118 hypothetical protein	MK689686.1_00120 hypothetical protein	MK689686.1_00120 hypothetical protein	MK689686.1_00120 hypothetical protein	AF371960.1_00121 hypothetical protein	MK689686.1_00120 hypothetical protein	AF371960.1_00121 hypothetical protein	OM037668.1_00078 hypothetical protein	MN803438.1_00070 hypothetical protein	OM037668.1_00078 hypothetical protein	MK689686.1_00120 hypothetical protein	AF371960.1_00121 hypothetical protein	AF371960.1_00121 hypothetical protein	MK689686.1_00120 hypothetical protein	NC_005946.1_00016 hypothetical protein	MK689686.1_00120 hypothetical protein	MK689686.1_00120 hypothetical protein	MK689686.1_00120 hypothetical protein	MK689686.1_00120 hypothetical protein	MK689686.1_00120 hypothetical protein	OM037668.1_00078 hypothetical protein	MK689686.1_00120 hypothetical protein	MK689686.1_00120 hypothetical protein	MK689686.1_00120 hypothetical protein	AF371960.1_00121 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000009	AF303741.1_00046 hypothetical protein	AF371960.1_00122 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation	MK689686.1_00121 hypothetical protein	MK689686.1_00121 hypothetical protein	GQ273492.1_00119 hypothetical protein	HF920633.1_00058 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation	MK689686.1_00121 hypothetical protein	KF938901.1_00095 hypothetical protein	MK689686.1_00121 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein	LS484712.1_00135 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation	MG570131.1_00119 hypothetical protein	MG570132.1_00119 hypothetical protein	MK689686.1_00121 hypothetical protein	MK689686.1_00121 hypothetical protein	MK689686.1_00121 hypothetical protein	AF371960.1_00122 hypothetical protein	MK689686.1_00121 hypothetical protein	AF371960.1_00122 hypothetical protein	OM037668.1_00004 hypothetical protein	MN803438.1_00046 hypothetical protein	OM037668.1_00004 hypothetical protein	MK689686.1_00121 hypothetical protein	AF371960.1_00122 hypothetical protein	AF371960.1_00122 hypothetical protein	MK689686.1_00121 hypothetical protein	NC_005946.1_00021 hypothetical protein	MK689686.1_00121 hypothetical protein	MK689686.1_00121 hypothetical protein	MK689686.1_00121 hypothetical protein	MK689686.1_00121 hypothetical protein	MK689686.1_00121 hypothetical protein	OM037668.1_00004 hypothetical protein	MK689686.1_00121 hypothetical protein	MK689686.1_00121 hypothetical protein	MK689686.1_00121 hypothetical protein	AF371960.1_00122 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
