Orthogroup	HF920633.1	OQ475017.1
OG0000000	HF920633.1_00044	OQ475017.1_00030
OG0000001	HF920633.1_00073	OQ475017.1_00007
OG0000003	HF920633.1_00069	OQ475017.1_00008
OG0000004	HF920633.1_00127	OQ475017.1_00015
OG0000005	HF920633.1_00043	OQ475017.1_00029
OG0000006	HF920633.1_00025	OQ475017.1_00073
OG0000007	HF920633.1_00091	OQ475017.1_00087
OG0000008	HF920633.1_00079	OQ475017.1_00110
OG0000009	HF920633.1_00122	OQ475017.1_00112
OG0000010	HF920633.1_00097	OQ475017.1_00005
OG0000011	HF920633.1_00001	OQ475017.1_00022
OG0000012	HF920633.1_00080	OQ475017.1_00031
OG0000013	HF920633.1_00158	OQ475017.1_00033
OG0000014	HF920633.1_00175	OQ475017.1_00035
OG0000015	HF920633.1_00067	OQ475017.1_00056
OG0000016	HF920633.1_00118	OQ475017.1_00062
OG0000017	HF920633.1_00163	OQ475017.1_00083
OG0000018	HF920633.1_00094	OQ475017.1_00084
OG0000019	HF920633.1_00003	OQ475017.1_00105
OG0000020	HF920633.1_00138	OQ475017.1_00120
OG0000021	HF920633.1_00058	OQ475017.1_00121
OG0000022	HF920633.1_00017	OQ475017.1_00044
OG0000025	HF920633.1_00047	OQ475017.1_00063
OG0000028	HF920633.1_00030	OQ475017.1_00006
