Orthogroup	HF920633.1	AY521625.1
OG0000000	HF920633.1_00044	AY521625.1_00091
OG0000001	HF920633.1_00073	AY521625.1_00064
OG0000003	HF920633.1_00069	AY521625.1_00077
OG0000004	HF920633.1_00127	AY521625.1_00130
OG0000005	HF920633.1_00043	AY521625.1_00085
OG0000006	HF920633.1_00025	AY521625.1_00051
OG0000007	HF920633.1_00091	AY521625.1_00016
OG0000008	HF920633.1_00079	AY521625.1_00069, AY521625.1_00070
OG0000009	HF920633.1_00122	AY521625.1_00142
OG0000010	HF920633.1_00097	AY521625.1_00054
OG0000011	HF920633.1_00001	AY521625.1_00110
OG0000012	HF920633.1_00080	AY521625.1_00074
OG0000013	HF920633.1_00158	AY521625.1_00059
OG0000014	HF920633.1_00175	AY521625.1_00065
OG0000015	HF920633.1_00067	AY521625.1_00048
OG0000016	HF920633.1_00118	AY521625.1_00053
OG0000017	HF920633.1_00163	AY521625.1_00086
OG0000018	HF920633.1_00094	AY521625.1_00073
OG0000019	HF920633.1_00003	AY521625.1_00047
OG0000020	HF920633.1_00138	AY521625.1_00115
OG0000021	HF920633.1_00058	AY521625.1_00035
OG0000022	HF920633.1_00017	AY521625.1_00062
OG0000137	HF920633.1_00135	AY521625.1_00098
OG0000138	HF920633.1_00064	AY521625.1_00102
OG0000147	HF920633.1_00062	AY521625.1_00042
OG0000148	HF920633.1_00132	AY521625.1_00056
OG0000151	HF920633.1_00024	AY521625.1_00018
OG0000154	HF920633.1_00026	AY521625.1_00133
OG0000159	HF920633.1_00171	AY521625.1_00005
OG0000161	HF920633.1_00106	AY521625.1_00044
OG0000162	HF920633.1_00034	AY521625.1_00140
