Orthogroup	HF920633.1	OL774655.1
OG0000000	HF920633.1_00044	OL774655.1_00034
OG0000001	HF920633.1_00073	OL774655.1_00007
OG0000003	HF920633.1_00069	OL774655.1_00008
OG0000004	HF920633.1_00127	OL774655.1_00015
OG0000005	HF920633.1_00043	OL774655.1_00033
OG0000006	HF920633.1_00025	OL774655.1_00078
OG0000007	HF920633.1_00091	OL774655.1_00091
OG0000008	HF920633.1_00079	OL774655.1_00113
OG0000009	HF920633.1_00122	OL774655.1_00115
OG0000010	HF920633.1_00097	OL774655.1_00005
OG0000011	HF920633.1_00001	OL774655.1_00022
OG0000012	HF920633.1_00080	OL774655.1_00035
OG0000013	HF920633.1_00158	OL774655.1_00037
OG0000014	HF920633.1_00175	OL774655.1_00039
OG0000015	HF920633.1_00067	OL774655.1_00060
OG0000016	HF920633.1_00118	OL774655.1_00066
OG0000017	HF920633.1_00163	OL774655.1_00087
OG0000018	HF920633.1_00094	OL774655.1_00088
OG0000019	HF920633.1_00003	OL774655.1_00108
OG0000020	HF920633.1_00138	OL774655.1_00123
OG0000021	HF920633.1_00058	OL774655.1_00124
OG0000022	HF920633.1_00017	OL774655.1_00048
OG0000025	HF920633.1_00047	OL774655.1_00067
OG0000028	HF920633.1_00030	OL774655.1_00006
