Orthogroup	HF920633.1	MF599468.1
OG0000000	HF920633.1_00044	MF599468.1_00057, MF599468.1_00056
OG0000001	HF920633.1_00073	MF599468.1_00152
OG0000003	HF920633.1_00069	MF599468.1_00163
OG0000004	HF920633.1_00127	MF599468.1_00011
OG0000005	HF920633.1_00043	MF599468.1_00030
OG0000006	HF920633.1_00025	MF599468.1_00010
OG0000007	HF920633.1_00091	MF599468.1_00174
OG0000008	HF920633.1_00079	MF599468.1_00092
OG0000009	HF920633.1_00122	MF599468.1_00075
OG0000010	HF920633.1_00097	MF599468.1_00116
OG0000011	HF920633.1_00001	MF599468.1_00112
OG0000012	HF920633.1_00080	MF599468.1_00090
OG0000013	HF920633.1_00158	MF599468.1_00035
OG0000014	HF920633.1_00175	MF599468.1_00071
OG0000015	HF920633.1_00067	MF599468.1_00033
OG0000016	HF920633.1_00118	MF599468.1_00149
OG0000017	HF920633.1_00163	MF599468.1_00106
OG0000018	HF920633.1_00094	MF599468.1_00046
OG0000019	HF920633.1_00003	MF599468.1_00117
OG0000020	HF920633.1_00138	MF599468.1_00122
OG0000021	HF920633.1_00058	MF599468.1_00009
OG0000022	HF920633.1_00017	MF599468.1_00171
OG0000120	HF920633.1_00086	MF599468.1_00096
OG0000121	HF920633.1_00040, HF920633.1_00143, HF920633.1_00057, HF920633.1_00107, HF920633.1_00172, HF920633.1_00170, HF920633.1_00117	MF599468.1_00100, MF599468.1_00114
OG0000122	HF920633.1_00116	MF599468.1_00024, MF599468.1_00029, MF599468.1_00099, MF599468.1_00102, MF599468.1_00104, MF599468.1_00101, MF599468.1_00038, MF599468.1_00070, MF599468.1_00145, MF599468.1_00054, MF599468.1_00091, MF599468.1_00128, MF599468.1_00103, MF599468.1_00055, MF599468.1_00023
OG0000137	HF920633.1_00135	MF599468.1_00002
OG0000138	HF920633.1_00064	MF599468.1_00027
OG0000151	HF920633.1_00024	MF599468.1_00060
OG0000154	HF920633.1_00026	MF599468.1_00161
OG0000155	HF920633.1_00053	MF599468.1_00051
OG0000161	HF920633.1_00106	MF599468.1_00142
OG0000167	HF920633.1_00036	MF599468.1_00074
OG0000177	HF920633.1_00046	MF599468.1_00155
OG0000178	HF920633.1_00082	MF599468.1_00162
OG0000181	HF920633.1_00105	MF599468.1_00004
OG0000182	HF920633.1_00134	MF599468.1_00141
OG0000184	HF920633.1_00145	MF599468.1_00045
OG0000185	HF920633.1_00169	MF599468.1_00067
OG0000186	HF920633.1_00177	MF599468.1_00105
OG0000201	HF920633.1_00022	MF599468.1_00043
OG0000203	HF920633.1_00032	MF599468.1_00052, MF599468.1_00061
OG0000208	HF920633.1_00056	MF599468.1_00172
OG0000209	HF920633.1_00103	MF599468.1_00025
OG0000210	HF920633.1_00110	MF599468.1_00022
OG0000211	HF920633.1_00120	MF599468.1_00015
OG0000213	HF920633.1_00123	MF599468.1_00044
OG0000214	HF920633.1_00125	MF599468.1_00125
OG0000215	HF920633.1_00128	MF599468.1_00129
OG0000218	HF920633.1_00149	MF599468.1_00079
OG0000219	HF920633.1_00165	MF599468.1_00037
OG0000278	HF920633.1_00144	MF599468.1_00081
