Orthogroup	HF920633.1	OK042109.1
OG0000000	HF920633.1_00044	OK042109.1_00047
OG0000001	HF920633.1_00073	OK042109.1_00069
OG0000003	HF920633.1_00069	OK042109.1_00068
OG0000004	HF920633.1_00127	OK042109.1_00061
OG0000005	HF920633.1_00043	OK042109.1_00048
OG0000006	HF920633.1_00025	OK042109.1_00001
OG0000007	HF920633.1_00091	OK042109.1_00110
OG0000008	HF920633.1_00079	OK042109.1_00088
OG0000009	HF920633.1_00122	OK042109.1_00086
OG0000010	HF920633.1_00097	OK042109.1_00071
OG0000011	HF920633.1_00001	OK042109.1_00054
OG0000012	HF920633.1_00080	OK042109.1_00046
OG0000013	HF920633.1_00158	OK042109.1_00044
OG0000014	HF920633.1_00175	OK042109.1_00042
OG0000015	HF920633.1_00067	OK042109.1_00020
OG0000016	HF920633.1_00118	OK042109.1_00013
OG0000017	HF920633.1_00163	OK042109.1_00114
OG0000018	HF920633.1_00094	OK042109.1_00113
OG0000019	HF920633.1_00003	OK042109.1_00093
OG0000020	HF920633.1_00138	OK042109.1_00078
OG0000021	HF920633.1_00058	OK042109.1_00077
OG0000022	HF920633.1_00017	OK042109.1_00033
OG0000028	HF920633.1_00030	OK042109.1_00070
