Orthogroup	HF920633.1	OL774653.1
OG0000000	HF920633.1_00044	OL774653.1_00051
OG0000001	HF920633.1_00073	OL774653.1_00025
OG0000003	HF920633.1_00069	OL774653.1_00026
OG0000004	HF920633.1_00127	OL774653.1_00032
OG0000005	HF920633.1_00043	OL774653.1_00050
OG0000006	HF920633.1_00025	OL774653.1_00094
OG0000007	HF920633.1_00091	OL774653.1_00108
OG0000008	HF920633.1_00079	OL774653.1_00006
OG0000009	HF920633.1_00122	OL774653.1_00008
OG0000010	HF920633.1_00097	OL774653.1_00023
OG0000011	HF920633.1_00001	OL774653.1_00039
OG0000012	HF920633.1_00080	OL774653.1_00052
OG0000013	HF920633.1_00158	OL774653.1_00054
OG0000014	HF920633.1_00175	OL774653.1_00056
OG0000015	HF920633.1_00067	OL774653.1_00076
OG0000016	HF920633.1_00118	OL774653.1_00082
OG0000017	HF920633.1_00163	OL774653.1_00104
OG0000018	HF920633.1_00094	OL774653.1_00105
OG0000019	HF920633.1_00003	OL774653.1_00001
OG0000020	HF920633.1_00138	OL774653.1_00016
OG0000021	HF920633.1_00058	OL774653.1_00017
OG0000022	HF920633.1_00017	OL774653.1_00065
OG0000025	HF920633.1_00047	OL774653.1_00083
OG0000028	HF920633.1_00030	OL774653.1_00024
