Orthogroup	MK098186.1	NC_005946.1
OG0000000	MK098186.1_00030	NC_005946.1_00010
OG0000001	MK098186.1_00007	NC_005946.1_00091
OG0000003	MK098186.1_00008	NC_005946.1_00053
OG0000004	MK098186.1_00015	NC_005946.1_00057
OG0000005	MK098186.1_00029	NC_005946.1_00095
OG0000006	MK098186.1_00073	NC_005946.1_00042
OG0000007	MK098186.1_00087	NC_005946.1_00002
OG0000008	MK098186.1_00109	NC_005946.1_00028
OG0000009	MK098186.1_00111	NC_005946.1_00092
OG0000010	MK098186.1_00005	NC_005946.1_00038
OG0000011	MK098186.1_00022	NC_005946.1_00060
OG0000012	MK098186.1_00031	NC_005946.1_00083
OG0000013	MK098186.1_00033	NC_005946.1_00087
OG0000014	MK098186.1_00035	NC_005946.1_00061
OG0000015	MK098186.1_00055	NC_005946.1_00022
OG0000016	MK098186.1_00061	NC_005946.1_00011
OG0000017	MK098186.1_00083	NC_005946.1_00094
OG0000018	MK098186.1_00084	NC_005946.1_00082
OG0000019	MK098186.1_00104	NC_005946.1_00023
OG0000020	MK098186.1_00119	NC_005946.1_00016
OG0000021	MK098186.1_00120	NC_005946.1_00021
OG0000022	MK098186.1_00044	NC_005946.1_00089
OG0000023	MK098186.1_00092	NC_005946.1_00014
OG0000024	MK098186.1_00107	NC_005946.1_00086
OG0000026	MK098186.1_00085	NC_005946.1_00049
OG0000027	MK098186.1_00047	NC_005946.1_00085
OG0000112	MK098186.1_00077	NC_005946.1_00006
