Orthogroup	MK098186.1	MN803438.1
OG0000000	MK098186.1_00030	MN803438.1_00124
OG0000001	MK098186.1_00007	MN803438.1_00023
OG0000003	MK098186.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000004	MK098186.1_00015	MN803438.1_00113
OG0000005	MK098186.1_00029	MN803438.1_00106
OG0000006	MK098186.1_00073	MN803438.1_00142
OG0000007	MK098186.1_00087	MN803438.1_00027
OG0000008	MK098186.1_00109	MN803438.1_00104
OG0000009	MK098186.1_00111	MN803438.1_00109
OG0000010	MK098186.1_00005	MN803438.1_00089
OG0000011	MK098186.1_00022	MN803438.1_00128
OG0000012	MK098186.1_00031	MN803438.1_00068
OG0000013	MK098186.1_00033	MN803438.1_00035
OG0000014	MK098186.1_00035	MN803438.1_00013
OG0000015	MK098186.1_00055	MN803438.1_00007
OG0000016	MK098186.1_00061	MN803438.1_00049
OG0000017	MK098186.1_00083	MN803438.1_00097
OG0000018	MK098186.1_00084	MN803438.1_00122
OG0000019	MK098186.1_00104	MN803438.1_00051
OG0000020	MK098186.1_00119	MN803438.1_00070
OG0000021	MK098186.1_00120	MN803438.1_00046
OG0000022	MK098186.1_00044	MN803438.1_00077
OG0000023	MK098186.1_00092	MN803438.1_00071
OG0000024	MK098186.1_00107	MN803438.1_00126
OG0000026	MK098186.1_00085	MN803438.1_00037
OG0000027	MK098186.1_00047	MN803438.1_00054
OG0000028	MK098186.1_00006	MN803438.1_00145
