Orthogroup	LS484712	OQ475017
OG0000000	LS484712.1_00114 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	LS484712.1_00187 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000002	LS484712.1_00095 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000003	LS484712.1_00248 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	LS484712.1_00130 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000005	LS484712.1_00203 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000006	LS484712.1_00200 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000007	LS484712.1_00143 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000008	LS484712.1_00202 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000009	LS484712.1_00135 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000010	LS484712.1_00240 hypothetical protein	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000011	LS484712.1_00053 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000012	LS484712.1_00142 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000013	LS484712.1_00192 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000014	LS484712.1_00050 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000015	LS484712.1_00188 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000016	LS484712.1_00096 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000017	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000021	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000022	LS484712.1_00117 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000023	LS484712.1_00040 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000127	LS484712.1_00002 hypothetical protein	OQ475017.1_00065 OQ475017.1 - hypothetical protein translation
