Orthogroup	LS484712	HF920633
OG0000000	LS484712.1_00114 hypothetical protein	HF920633.1_00044 hypothetical protein
OG0000001	LS484712.1_00187 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000002	LS484712.1_00095 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000003	LS484712.1_00248 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	LS484712.1_00130 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	LS484712.1_00203 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000006	LS484712.1_00200 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000007	LS484712.1_00143 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000008	LS484712.1_00202 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000009	LS484712.1_00135 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000010	LS484712.1_00240 hypothetical protein	HF920633.1_00158 hypothetical protein
OG0000011	LS484712.1_00053 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000012	LS484712.1_00142 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000013	LS484712.1_00192 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000014	LS484712.1_00050 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000015	LS484712.1_00188 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000016	LS484712.1_00096 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000017	LS484712.1_00194 DNA-directed RNA polymerase subunit 2	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000021	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000022	LS484712.1_00117 hypothetical protein	HF920633.1_00017 hypothetical protein
OG0000023	LS484712.1_00040 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000121	LS484712.1_00198 hypothetical protein	HF920633.1_00147 hypothetical protein, HF920633.1_00130 hypothetical protein, HF920633.1_00174 hypothetical protein, HF920633.1_00007 hypothetical protein
OG0000130	LS484712.1_00057 hypothetical protein	HF920633.1_00135 hypothetical protein
OG0000133	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit	HF920633.1_00132 hypothetical protein
OG0000134	LS484712.1_00063 hypothetical protein	HF920633.1_00053 hypothetical protein
OG0000138	LS484712.1_00133 hypothetical protein	HF920633.1_00026 hypothetical protein
OG0000139	LS484712.1_00197 hypothetical protein	HF920633.1_00064 hypothetical protein
OG0000145	LS484712.1_00211 hypothetical protein	HF920633.1_00088 hypothetical protein
OG0000156	LS484712.1_00116 hypothetical protein	HF920633.1_00134 hypothetical protein
OG0000157	LS484712.1_00113 hypothetical protein	HF920633.1_00039 hypothetical protein
OG0000158	LS484712.1_00140 hypothetical protein	HF920633.1_00105 hypothetical protein
OG0000159	LS484712.1_00195 hypothetical protein	HF920633.1_00082 hypothetical protein
OG0000160	LS484712.1_00212 hypothetical protein	HF920633.1_00169 DNA ligase
OG0000161	LS484712.1_00112 hypothetical protein	HF920633.1_00177 hypothetical protein
OG0000164	LS484712.1_00184 hypothetical protein	HF920633.1_00046 hypothetical protein
OG0000183	LS484712.1_00196 hypothetical protein	HF920633.1_00131 hypothetical protein
OG0000185	LS484712.1_00224 hypothetical protein	HF920633.1_00146 hypothetical protein
OG0000188	LS484712.1_00060 hypothetical protein	HF920633.1_00050 hypothetical protein
OG0000191	LS484712.1_00163 hypothetical protein	HF920633.1_00035 hypothetical protein
OG0000192	LS484712.1_00120 hypothetical protein	HF920633.1_00029 hypothetical protein
OG0000193	LS484712.1_00106 hypothetical protein	HF920633.1_00121 hypothetical protein
OG0000200	LS484712.1_00052 hypothetical protein	HF920633.1_00101 hypothetical protein
OG0000207	LS484712.1_00233 hypothetical protein	HF920633.1_00018 hypothetical protein
OG0000245	LS484712.1_00207 hypothetical protein	HF920633.1_00060 hypothetical protein
OG0000246	LS484712.1_00206 hypothetical protein	HF920633.1_00159 hypothetical protein
OG0000247	LS484712.1_00201 hypothetical protein	HF920633.1_00164 hypothetical protein
