Orthogroup	OM037668.1	AY532606.1
OG0000000	OM037668.1_00035	AY532606.1_00030
OG0000001	OM037668.1_00056	AY532606.1_00007
OG0000002	OM037668.1_00057	AY532606.1_00006
OG0000003	OM037668.1_00050	AY532606.1_00014
OG0000004	OM037668.1_00076	AY532606.1_00116, AY532606.1_00117
OG0000005	OM037668.1_00080	AY532606.1_00099, AY532606.1_00098
OG0000006	OM037668.1_00021	AY532606.1_00078
OG0000007	OM037668.1_00084	AY532606.1_00093
OG0000008	OM037668.1_00038	AY532606.1_00029
OG0000009	OM037668.1_00077	AY532606.1_00120, AY532606.1_00119
OG0000010	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006	AY532606.1_00079
OG0000011	OM037668.1_00009	AY532606.1_00064
OG0000012	OM037668.1_00041	AY532606.1_00020
OG0000013	OM037668.1_00098	AY532606.1_00057
OG0000014	OM037668.1_00078	AY532606.1_00125
OG0000015	OM037668.1_00004	AY532606.1_00126
OG0000016	OM037668.1_00089	AY532606.1_00089
OG0000017	OM037668.1_00124	AY532606.1_00033
OG0000018	OM037668.1_00073	AY532606.1_00111
OG0000019	OM037668.1_00090	AY532606.1_00088
OG0000020	OM037668.1_00123	AY532606.1_00031
OG0000021	OM037668.1_00013	AY532606.1_00004
OG0000022	OM037668.1_00127	AY532606.1_00035
OG0000024	OM037668.1_00064	AY532606.1_00026
OG0000025	OM037668.1_00024	AY532606.1_00066, AY532606.1_00065
OG0000026	OM037668.1_00074	AY532606.1_00114
OG0000027	OM037668.1_00087	AY532606.1_00090
OG0000028	OM037668.1_00110	AY532606.1_00047
OG0000029	OM037668.1_00095	AY532606.1_00062
OG0000030	OM037668.1_00030	AY532606.1_00001
OG0000031	OM037668.1_00011	AY532606.1_00005
OG0000032	OM037668.1_00019	AY532606.1_00083
OG0000033	OM037668.1_00086	AY532606.1_00091
OG0000034	OM037668.1_00028	AY532606.1_00127
OG0000035	OM037668.1_00051	AY532606.1_00012
OG0000036	OM037668.1_00005	AY532606.1_00013
OG0000037	OM037668.1_00046	AY532606.1_00018
OG0000038	OM037668.1_00045	AY532606.1_00019
OG0000039	OM037668.1_00040	AY532606.1_00021
OG0000040	OM037668.1_00048	AY532606.1_00022
OG0000041	OM037668.1_00003	AY532606.1_00032
OG0000042	OM037668.1_00122	AY532606.1_00036
OG0000043	OM037668.1_00106	AY532606.1_00049
OG0000044	OM037668.1_00105	AY532606.1_00050
OG0000045	OM037668.1_00100	AY532606.1_00055
OG0000046	OM037668.1_00099	AY532606.1_00056
OG0000047	OM037668.1_00097	AY532606.1_00058
OG0000048	OM037668.1_00085	AY532606.1_00059
OG0000049	OM037668.1_00096	AY532606.1_00061
OG0000050	OM037668.1_00020	AY532606.1_00080
OG0000051	OM037668.1_00018	AY532606.1_00084
OG0000052	OM037668.1_00130	AY532606.1_00085
OG0000053	OM037668.1_00081	AY532606.1_00097
OG0000054	OM037668.1_00032	AY532606.1_00100
OG0000055	OM037668.1_00033	AY532606.1_00103
OG0000056	OM037668.1_00075	AY532606.1_00115
OG0000057	OM037668.1_00079	AY532606.1_00122
OG0000058	OM037668.1_00134	AY532606.1_00124
OG0000060	OM037668.1_00054	AY532606.1_00009
OG0000061	OM037668.1_00047	AY532606.1_00017
OG0000062	OM037668.1_00083	AY532606.1_00094
OG0000115	OM037668.1_00053	AY532606.1_00010
OG0000116	OM037668.1_00101	AY532606.1_00054
OG0000118	OM037668.1_00082	AY532606.1_00095
