Orthogroup	OM037668.1	OQ475017.1
OG0000000	OM037668.1_00035	OQ475017.1_00030
OG0000001	OM037668.1_00056	OQ475017.1_00008
OG0000002	OM037668.1_00057	OQ475017.1_00007
OG0000003	OM037668.1_00050	OQ475017.1_00015
OG0000004	OM037668.1_00076	OQ475017.1_00110
OG0000005	OM037668.1_00080	OQ475017.1_00093
OG0000006	OM037668.1_00021	OQ475017.1_00073
OG0000007	OM037668.1_00084	OQ475017.1_00087
OG0000008	OM037668.1_00038	OQ475017.1_00029
OG0000009	OM037668.1_00077	OQ475017.1_00112
OG0000010	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006	OQ475017.1_00074
OG0000011	OM037668.1_00009	OQ475017.1_00062
OG0000012	OM037668.1_00041	OQ475017.1_00022
OG0000013	OM037668.1_00098	OQ475017.1_00056
OG0000014	OM037668.1_00078	OQ475017.1_00120
OG0000015	OM037668.1_00004	OQ475017.1_00121
OG0000016	OM037668.1_00089	OQ475017.1_00084
OG0000017	OM037668.1_00124	OQ475017.1_00033
OG0000018	OM037668.1_00073	OQ475017.1_00105
OG0000019	OM037668.1_00090	OQ475017.1_00083
OG0000020	OM037668.1_00123	OQ475017.1_00031
OG0000021	OM037668.1_00013	OQ475017.1_00005
OG0000022	OM037668.1_00127	OQ475017.1_00035
OG0000023	OM037668.1_00113	OQ475017.1_00044
OG0000024	OM037668.1_00064	OQ475017.1_00027
OG0000025	OM037668.1_00024	OQ475017.1_00063
OG0000026	OM037668.1_00074	OQ475017.1_00108
OG0000027	OM037668.1_00087	OQ475017.1_00085
OG0000028	OM037668.1_00110	OQ475017.1_00047
OG0000029	OM037668.1_00095	OQ475017.1_00060
OG0000030	OM037668.1_00030	OQ475017.1_00001
OG0000031	OM037668.1_00011	OQ475017.1_00006
OG0000032	OM037668.1_00019	OQ475017.1_00078
OG0000033	OM037668.1_00086	OQ475017.1_00086
OG0000034	OM037668.1_00028	OQ475017.1_00122
OG0000035	OM037668.1_00051	OQ475017.1_00013
OG0000036	OM037668.1_00005	OQ475017.1_00014
OG0000037	OM037668.1_00046	OQ475017.1_00019
OG0000038	OM037668.1_00045	OQ475017.1_00020
OG0000039	OM037668.1_00040	OQ475017.1_00023
OG0000040	OM037668.1_00048	OQ475017.1_00024
OG0000041	OM037668.1_00003	OQ475017.1_00032
OG0000042	OM037668.1_00122	OQ475017.1_00036
OG0000043	OM037668.1_00106	OQ475017.1_00048
OG0000044	OM037668.1_00105	OQ475017.1_00049
OG0000045	OM037668.1_00100	OQ475017.1_00054
OG0000046	OM037668.1_00099	OQ475017.1_00055
OG0000047	OM037668.1_00097	OQ475017.1_00057
OG0000048	OM037668.1_00085	OQ475017.1_00058
OG0000049	OM037668.1_00096	OQ475017.1_00059
OG0000050	OM037668.1_00020	OQ475017.1_00075
OG0000051	OM037668.1_00018	OQ475017.1_00079
OG0000052	OM037668.1_00130	OQ475017.1_00080
OG0000053	OM037668.1_00081	OQ475017.1_00092
OG0000054	OM037668.1_00032	OQ475017.1_00094
OG0000055	OM037668.1_00033	OQ475017.1_00097
OG0000056	OM037668.1_00075	OQ475017.1_00109
OG0000057	OM037668.1_00079	OQ475017.1_00114
OG0000058	OM037668.1_00134	OQ475017.1_00116
OG0000059	OM037668.1_00031	OQ475017.1_00002
OG0000060	OM037668.1_00054	OQ475017.1_00010
OG0000061	OM037668.1_00047	OQ475017.1_00018
OG0000062	OM037668.1_00083	OQ475017.1_00088
OG0000096	OM037668.1_00091	OQ475017.1_00118
OG0000114	OM037668.1_00042	OQ475017.1_00021
OG0000115	OM037668.1_00053	OQ475017.1_00011
OG0000116	OM037668.1_00101	OQ475017.1_00053
