Orthogroup	NC_005946	LS484712
OG0000000	NC_005946.1_00010 hypothetical protein	LS484712.1_00114 hypothetical protein
OG0000001	NC_005946.1_00057 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000002	NC_005946.1_00053 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000003	NC_005946.1_00095 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	NC_005946.1_00092 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000005	NC_005946.1_00011 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000006	NC_005946.1_00060 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000007	NC_005946.1_00022 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000008	NC_005946.1_00016 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000009	NC_005946.1_00021 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000010	NC_005946.1_00087 hypothetical protein	LS484712.1_00240 hypothetical protein
OG0000011	NC_005946.1_00023 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000012	NC_005946.1_00091 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000013	NC_005946.1_00094 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000014	NC_005946.1_00002 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000015	NC_005946.1_00083 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000016	NC_005946.1_00038 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000017	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000021	NC_005946.1_00067 hypothetical protein	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000022	NC_005946.1_00089 hypothetical protein	LS484712.1_00117 hypothetical protein
OG0000023	NC_005946.1_00042 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000130	NC_005946.1_00001 hypothetical protein	LS484712.1_00057 hypothetical protein
OG0000133	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit	LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit
OG0000138	NC_005946.1_00054 hypothetical protein	LS484712.1_00133 hypothetical protein
