Orthogroup	KC244182.1	KF938901.1
OG0000000	KC244182.1_00029	KF938901.1_00126
OG0000001	KC244182.1_00007	KF938901.1_00044
OG0000003	KC244182.1_00008	KF938901.1_00080
OG0000004	KC244182.1_00014	KF938901.1_00005
OG0000005	KC244182.1_00028	KF938901.1_00067
OG0000006	KC244182.1_00076	KF938901.1_00072
OG0000007	KC244182.1_00090	KF938901.1_00053
OG0000008	KC244182.1_00112	KF938901.1_00043
OG0000009	KC244182.1_00114	KF938901.1_00114
OG0000010	KC244182.1_00005	KF938901.1_00124
OG0000011	KC244182.1_00022	KF938901.1_00054
OG0000012	KC244182.1_00030	KF938901.1_00047
OG0000013	KC244182.1_00032	KF938901.1_00123
OG0000014	KC244182.1_00034	KF938901.1_00023
OG0000015	KC244182.1_00056	KF938901.1_00060
OG0000016	KC244182.1_00063	KF938901.1_00092
OG0000017	KC244182.1_00086	KF938901.1_00012
OG0000018	KC244182.1_00087	KF938901.1_00046
OG0000019	KC244182.1_00107	KF938901.1_00025
OG0000020	KC244182.1_00121	KF938901.1_00074
OG0000021	KC244182.1_00122	KF938901.1_00095
OG0000022	KC244182.1_00043	KF938901.1_00031
OG0000025	KC244182.1_00064	KF938901.1_00093
