Orthogroup	KC244182.1	HF920637.1
OG0000000	KC244182.1_00029	HF920637.1_00129, HF920637.1_00164
OG0000001	KC244182.1_00007	HF920637.1_00143
OG0000003	KC244182.1_00008	HF920637.1_00059
OG0000004	KC244182.1_00014	HF920637.1_00159
OG0000005	KC244182.1_00028	HF920637.1_00176, HF920637.1_00175
OG0000006	KC244182.1_00076	HF920637.1_00121
OG0000007	KC244182.1_00090	HF920637.1_00172
OG0000008	KC244182.1_00112	HF920637.1_00025
OG0000009	KC244182.1_00114	HF920637.1_00153
OG0000010	KC244182.1_00005	HF920637.1_00041
OG0000011	KC244182.1_00022	HF920637.1_00001
OG0000012	KC244182.1_00030	HF920637.1_00031
OG0000013	KC244182.1_00032	HF920637.1_00073
OG0000014	KC244182.1_00034	HF920637.1_00213
OG0000015	KC244182.1_00056	HF920637.1_00017
OG0000016	KC244182.1_00063	HF920637.1_00217
OG0000017	KC244182.1_00086	HF920637.1_00197
OG0000018	KC244182.1_00087	HF920637.1_00079
OG0000019	KC244182.1_00107	HF920637.1_00111
OG0000020	KC244182.1_00121	HF920637.1_00108
OG0000021	KC244182.1_00122	HF920637.1_00152
OG0000022	KC244182.1_00043	HF920637.1_00033
OG0000023	KC244182.1_00095	HF920637.1_00221
OG0000024	KC244182.1_00110	HF920637.1_00203
OG0000025	KC244182.1_00064	HF920637.1_00156
OG0000028	KC244182.1_00006	HF920637.1_00127
