Orthogroup	KC244182.1	LS484712.1
OG0000000	KC244182.1_00029	LS484712.1_00114
OG0000001	KC244182.1_00007	LS484712.1_00142
OG0000003	KC244182.1_00008	LS484712.1_00095
OG0000004	KC244182.1_00014	LS484712.1_00187
OG0000005	KC244182.1_00028	LS484712.1_00248
OG0000006	KC244182.1_00076	LS484712.1_00040
OG0000007	KC244182.1_00090	LS484712.1_00234, LS484712.1_00050
OG0000009	KC244182.1_00114	LS484712.1_00130
OG0000010	KC244182.1_00005	LS484712.1_00096
OG0000011	KC244182.1_00022	LS484712.1_00200
OG0000012	KC244182.1_00030	LS484712.1_00188
OG0000013	KC244182.1_00032	LS484712.1_00240
OG0000014	KC244182.1_00034	LS484712.1_00194
OG0000015	KC244182.1_00056	LS484712.1_00143
OG0000016	KC244182.1_00063	LS484712.1_00203
OG0000017	KC244182.1_00086	LS484712.1_00192
OG0000018	KC244182.1_00087	LS484712.1_00048
OG0000019	KC244182.1_00107	LS484712.1_00053
OG0000020	KC244182.1_00121	LS484712.1_00202
OG0000021	KC244182.1_00122	LS484712.1_00135
OG0000022	KC244182.1_00043	LS484712.1_00117
OG0000068	KC244182.1_00066	LS484712.1_00002
