Orthogroup	AY521625.1	AY894343.1
OG0000000	AY521625.1_00091	AY894343.1_00029
OG0000001	AY521625.1_00077	AY894343.1_00008
OG0000002	AY521625.1_00064	AY894343.1_00007
OG0000003	AY521625.1_00130	AY894343.1_00015
OG0000004	AY521625.1_00069, AY521625.1_00070	AY894343.1_00113
OG0000005	AY521625.1_00100	AY894343.1_00096
OG0000006	AY521625.1_00051	AY894343.1_00076
OG0000007	AY521625.1_00016	AY894343.1_00090
OG0000008	AY521625.1_00085	AY894343.1_00028
OG0000009	AY521625.1_00142	AY894343.1_00115
OG0000011	AY521625.1_00053	AY894343.1_00063
OG0000012	AY521625.1_00110	AY894343.1_00021
OG0000013	AY521625.1_00048	AY894343.1_00056
OG0000014	AY521625.1_00115	AY894343.1_00123
OG0000015	AY521625.1_00035	AY894343.1_00124
OG0000016	AY521625.1_00073	AY894343.1_00087
OG0000017	AY521625.1_00059	AY894343.1_00032
OG0000018	AY521625.1_00047	AY894343.1_00108
OG0000019	AY521625.1_00086	AY894343.1_00086
OG0000020	AY521625.1_00074	AY894343.1_00030
OG0000021	AY521625.1_00054	AY894343.1_00005
OG0000022	AY521625.1_00065	AY894343.1_00034
OG0000023	AY521625.1_00062	AY894343.1_00043
OG0000024	AY521625.1_00042	AY894343.1_00025
OG0000026	AY521625.1_00060	AY894343.1_00111
OG0000027	AY521625.1_00022	AY894343.1_00088
OG0000030	AY521625.1_00004	AY894343.1_00001
