Orthogroup	AY521625.1	MF599468.1
OG0000000	AY521625.1_00091	MF599468.1_00057, MF599468.1_00056
OG0000001	AY521625.1_00077	MF599468.1_00163
OG0000002	AY521625.1_00064	MF599468.1_00152
OG0000003	AY521625.1_00130	MF599468.1_00011
OG0000004	AY521625.1_00069, AY521625.1_00070	MF599468.1_00092
OG0000005	AY521625.1_00100	MF599468.1_00154
OG0000006	AY521625.1_00051	MF599468.1_00010
OG0000007	AY521625.1_00016	MF599468.1_00174
OG0000008	AY521625.1_00085	MF599468.1_00030
OG0000009	AY521625.1_00142	MF599468.1_00075
OG0000011	AY521625.1_00053	MF599468.1_00149
OG0000012	AY521625.1_00110	MF599468.1_00112
OG0000013	AY521625.1_00048	MF599468.1_00033
OG0000014	AY521625.1_00115	MF599468.1_00122
OG0000015	AY521625.1_00035	MF599468.1_00009
OG0000016	AY521625.1_00073	MF599468.1_00046
OG0000017	AY521625.1_00059	MF599468.1_00035
OG0000018	AY521625.1_00047	MF599468.1_00117
OG0000019	AY521625.1_00086	MF599468.1_00106
OG0000020	AY521625.1_00074	MF599468.1_00090
OG0000021	AY521625.1_00054	MF599468.1_00116
OG0000022	AY521625.1_00065	MF599468.1_00071
OG0000023	AY521625.1_00062	MF599468.1_00171
OG0000026	AY521625.1_00060	MF599468.1_00039
OG0000113	AY521625.1_00036	MF599468.1_00036, MF599468.1_00045
OG0000134	AY521625.1_00098	MF599468.1_00002
OG0000135	AY521625.1_00102	MF599468.1_00027
OG0000148	AY521625.1_00133	MF599468.1_00161
OG0000156	AY521625.1_00044	MF599468.1_00142
OG0000158	AY521625.1_00018	MF599468.1_00060
OG0000160	AY521625.1_00126	MF599468.1_00156, MF599468.1_00066
OG0000172	AY521625.1_00014	MF599468.1_00081
OG0000177	AY521625.1_00011	MF599468.1_00089, MF599468.1_00108
OG0000206	AY521625.1_00066	MF599468.1_00006
OG0000233	AY521625.1_00057	MF599468.1_00062
OG0000365	AY521625.1_00089	MF599468.1_00076
