Orthogroup	AY521625.1	AF303741.1
OG0000000	AY521625.1_00091	AF303741.1_00079, AF303741.1_00152
OG0000001	AY521625.1_00077	AF303741.1_00200, AF303741.1_00047
OG0000002	AY521625.1_00064	AF303741.1_00125
OG0000003	AY521625.1_00130	AF303741.1_00035
OG0000004	AY521625.1_00069, AY521625.1_00070	AF303741.1_00080
OG0000005	AY521625.1_00100	AF303741.1_00129
OG0000006	AY521625.1_00051	AF303741.1_00132
OG0000007	AY521625.1_00016	AF303741.1_00149
OG0000008	AY521625.1_00085	AF303741.1_00165
OG0000009	AY521625.1_00142	AF303741.1_00176
OG0000011	AY521625.1_00053	AF303741.1_00006
OG0000012	AY521625.1_00110	AF303741.1_00011
OG0000013	AY521625.1_00048	AF303741.1_00023
OG0000014	AY521625.1_00115	AF303741.1_00026
OG0000015	AY521625.1_00035	AF303741.1_00046
OG0000016	AY521625.1_00073	AF303741.1_00062
OG0000017	AY521625.1_00059	AF303741.1_00063
OG0000018	AY521625.1_00047	AF303741.1_00081
OG0000019	AY521625.1_00086	AF303741.1_00137
OG0000020	AY521625.1_00074	AF303741.1_00156
OG0000021	AY521625.1_00054	AF303741.1_00158
OG0000022	AY521625.1_00065	AF303741.1_00189
OG0000023	AY521625.1_00062	AF303741.1_00154
OG0000024	AY521625.1_00042	AF303741.1_00168
OG0000113	AY521625.1_00036	AF303741.1_00169
OG0000134	AY521625.1_00098	AF303741.1_00126
OG0000135	AY521625.1_00102	AF303741.1_00157
OG0000137	AY521625.1_00056	AF303741.1_00031
OG0000148	AY521625.1_00133	AF303741.1_00072
OG0000156	AY521625.1_00044	AF303741.1_00192
OG0000172	AY521625.1_00014	AF303741.1_00105
