Orthogroup	AY521625.1	KT804738.1
OG0000000	AY521625.1_00091	KT804738.1_00029
OG0000001	AY521625.1_00077	KT804738.1_00008
OG0000002	AY521625.1_00064	KT804738.1_00007
OG0000003	AY521625.1_00130	KT804738.1_00015
OG0000004	AY521625.1_00069, AY521625.1_00070	KT804738.1_00109
OG0000005	AY521625.1_00100	KT804738.1_00092
OG0000006	AY521625.1_00051	KT804738.1_00072
OG0000007	AY521625.1_00016	KT804738.1_00086
OG0000008	AY521625.1_00085	KT804738.1_00028
OG0000009	AY521625.1_00142	KT804738.1_00111
OG0000011	AY521625.1_00053	KT804738.1_00060
OG0000012	AY521625.1_00110	KT804738.1_00021
OG0000013	AY521625.1_00048	KT804738.1_00055
OG0000014	AY521625.1_00115	KT804738.1_00119
OG0000015	AY521625.1_00035	KT804738.1_00120
OG0000016	AY521625.1_00073	KT804738.1_00083
OG0000017	AY521625.1_00059	KT804738.1_00032
OG0000018	AY521625.1_00047	KT804738.1_00104
OG0000019	AY521625.1_00086	KT804738.1_00082
OG0000020	AY521625.1_00074	KT804738.1_00030
OG0000021	AY521625.1_00054	KT804738.1_00005
OG0000022	AY521625.1_00065	KT804738.1_00034
OG0000023	AY521625.1_00062	KT804738.1_00043
OG0000024	AY521625.1_00042	KT804738.1_00025
OG0000026	AY521625.1_00060	KT804738.1_00107
OG0000027	AY521625.1_00022	KT804738.1_00084
OG0000030	AY521625.1_00004	KT804738.1_00001
