Orthogroup	AY521625.1	MG570132.1
OG0000000	AY521625.1_00091	MG570132.1_00031
OG0000001	AY521625.1_00077	MG570132.1_00009
OG0000002	AY521625.1_00064	MG570132.1_00008, MG570132.1_00007
OG0000003	AY521625.1_00130	MG570132.1_00016
OG0000004	AY521625.1_00069, AY521625.1_00070	MG570132.1_00108
OG0000005	AY521625.1_00100	MG570132.1_00092
OG0000006	AY521625.1_00051	MG570132.1_00073
OG0000007	AY521625.1_00016	MG570132.1_00087
OG0000008	AY521625.1_00085	MG570132.1_00030
OG0000009	AY521625.1_00142	MG570132.1_00110
OG0000011	AY521625.1_00053	MG570132.1_00063
OG0000012	AY521625.1_00110	MG570132.1_00023
OG0000013	AY521625.1_00048	MG570132.1_00057
OG0000014	AY521625.1_00115	MG570132.1_00118
OG0000015	AY521625.1_00035	MG570132.1_00119
OG0000016	AY521625.1_00073	MG570132.1_00084
OG0000017	AY521625.1_00059	MG570132.1_00034
OG0000018	AY521625.1_00047	MG570132.1_00103
OG0000019	AY521625.1_00086	MG570132.1_00083
OG0000020	AY521625.1_00074	MG570132.1_00032
OG0000021	AY521625.1_00054	MG570132.1_00005
OG0000022	AY521625.1_00065	MG570132.1_00036
OG0000023	AY521625.1_00062	MG570132.1_00045
OG0000024	AY521625.1_00042	MG570132.1_00028
OG0000026	AY521625.1_00060	MG570132.1_00106
OG0000027	AY521625.1_00022	MG570132.1_00085
OG0000030	AY521625.1_00004	MG570132.1_00001
