Orthogroup	KX643370	MN803438
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	MN803438.1_00124 hypothetical protein
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	MN803438.1_00101 hypothetical protein
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	MN803438.1_00113 hypothetical protein
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	MN803438.1_00106 hypothetical protein
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	MN803438.1_00109 hypothetical protein
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	MN803438.1_00089 hypothetical protein
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	MN803438.1_00023 Major capsid protein
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	MN803438.1_00128 hypothetical protein
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	MN803438.1_00068 hypothetical protein
OG0000009	Lymph_LDV3_KX643370_00049 hypothetical protein	MN803438.1_00013 hypothetical protein
OG0000010	Lymph_LDV3_KX643370_00044 hypothetical protein	MN803438.1_00007 hypothetical protein
OG0000011	Lymph_LDV3_KX643370_00094 hypothetical protein	MN803438.1_00049 hypothetical protein
OG0000012	Lymph_LDV3_KX643370_00075 hypothetical protein	MN803438.1_00097 hypothetical protein
OG0000013	Lymph_LDV3_KX643370_00061 hypothetical protein	MN803438.1_00027 hypothetical protein
OG0000014	Lymph_LDV3_KX643370_00095 hypothetical protein	MN803438.1_00051 hypothetical protein
OG0000015	Lymph_LDV3_KX643370_00056 hypothetical protein	MN803438.1_00070 hypothetical protein
OG0000016	Lymph_LDV3_KX643370_00091 hypothetical protein	MN803438.1_00046 hypothetical protein
OG0000017	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	MN803438.1_00024 hypothetical protein
OG0000018	Lymph_LDV3_KX643370_00040 hypothetical protein	MN803438.1_00035 hypothetical protein
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	MN803438.1_00142 hypothetical protein
OG0000020	Lymph_LDV3_KX643370_00126 hypothetical protein	MN803438.1_00122 hypothetical protein
OG0000021	Lymph_LDV3_KX643370_00055 hypothetical protein	MN803438.1_00071 hypothetical protein
OG0000022	Lymph_LDV3_KX643370_00135 hypothetical protein	MN803438.1_00104 hypothetical protein
OG0000023	Lymph_LDV3_KX643370_00001 hypothetical protein	MN803438.1_00145 hypothetical protein
OG0000024	Lymph_LDV3_KX643370_00089 hypothetical protein	MN803438.1_00077 hypothetical protein
OG0000026	Lymph_LDV3_KX643370_00015 hypothetical protein	MN803438.1_00037 hypothetical protein
OG0000027	Lymph_LDV3_KX643370_00119 hypothetical protein	MN803438.1_00126 hypothetical protein
