Orthogroup	KX643370	HF920633
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	HF920633.1_00044 hypothetical protein
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000009	Lymph_LDV3_KX643370_00049 hypothetical protein	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000010	Lymph_LDV3_KX643370_00044 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000011	Lymph_LDV3_KX643370_00094 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000012	Lymph_LDV3_KX643370_00075 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000013	Lymph_LDV3_KX643370_00061 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000014	Lymph_LDV3_KX643370_00095 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000015	Lymph_LDV3_KX643370_00056 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000016	Lymph_LDV3_KX643370_00091 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000017	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000018	Lymph_LDV3_KX643370_00040 hypothetical protein	HF920633.1_00158 hypothetical protein
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000020	Lymph_LDV3_KX643370_00126 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000021	Lymph_LDV3_KX643370_00055 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000022	Lymph_LDV3_KX643370_00135 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000024	Lymph_LDV3_KX643370_00089 hypothetical protein	HF920633.1_00017 hypothetical protein
OG0000125	Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein	HF920633.1_00086 hypothetical protein
OG0000132	Lymph_LDV3_KX643370_00121 hypothetical protein	HF920633.1_00135 hypothetical protein
OG0000135	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit	HF920633.1_00132 hypothetical protein
OG0000136	Lymph_LDV3_KX643370_00145 hypothetical protein	HF920633.1_00053 hypothetical protein
OG0000137	Lymph_LDV3_KX643370_00042 Thymidylate synthase	HF920633.1_00156 Thymidylate synthase
OG0000143	Lymph_LDV3_KX643370_00043 hypothetical protein	HF920633.1_00064 hypothetical protein
OG0000147	Lymph_LDV3_KX643370_00140 hypothetical protein	HF920633.1_00036 hypothetical protein
OG0000151	Lymph_LDV3_KX643370_00149 hypothetical protein	HF920633.1_00024 hypothetical protein
OG0000173	Lymph_LDV3_KX643370_00060 hypothetical protein	HF920633.1_00171 hypothetical protein
OG0000175	Lymph_LDV3_KX643370_00080 hypothetical protein	HF920633.1_00034 hypothetical protein
OG0000202	Lymph_LDV3_KX643370_00020 hypothetical protein	HF920633.1_00139 hypothetical protein
