Orthogroup	KX643370	MK637631
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	MK637631_00115 hypothetical protein
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	MK637631_00025 hypothetical protein
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	MK637631_00030 hypothetical protein
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	MK637631_00114 hypothetical protein
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	MK637631_00105 hypothetical protein
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	MK637631_00070 hypothetical protein
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	MK637631_00044 Major capsid protein
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	MK637631_00017 hypothetical protein
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	MK637631_00043 hypothetical protein
OG0000009	Lymph_LDV3_KX643370_00049 hypothetical protein	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000010	Lymph_LDV3_KX643370_00044 hypothetical protein	MK637631_00086 hypothetical protein
OG0000011	Lymph_LDV3_KX643370_00094 hypothetical protein	MK637631_00066 hypothetical protein
OG0000012	Lymph_LDV3_KX643370_00075 hypothetical protein	MK637631_00011 hypothetical protein
OG0000013	Lymph_LDV3_KX643370_00061 hypothetical protein	MK637631_00056 hypothetical protein
OG0000014	Lymph_LDV3_KX643370_00095 hypothetical protein	MK637631_00100 hypothetical protein
OG0000015	Lymph_LDV3_KX643370_00056 hypothetical protein	MK637631_00106 hypothetical protein
OG0000016	Lymph_LDV3_KX643370_00091 hypothetical protein	MK637631_00046 hypothetical protein
OG0000017	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	MK637631_00094 hypothetical protein
OG0000020	Lymph_LDV3_KX643370_00126 hypothetical protein	MK637631_00010 hypothetical protein
OG0000021	Lymph_LDV3_KX643370_00055 hypothetical protein	MK637631_00110 hypothetical protein
OG0000022	Lymph_LDV3_KX643370_00135 hypothetical protein	MK637631_00104 hypothetical protein
OG0000023	Lymph_LDV3_KX643370_00001 hypothetical protein	MK637631_00068 hypothetical protein, MK637631_00067 hypothetical protein
OG0000024	Lymph_LDV3_KX643370_00089 hypothetical protein	MK637631_00074 hypothetical protein
OG0000026	Lymph_LDV3_KX643370_00015 hypothetical protein	MK637631_00037 hypothetical protein
OG0000027	Lymph_LDV3_KX643370_00119 hypothetical protein	MK637631_00101 hypothetical protein
OG0000028	Lymph_LDV3_KX643370_00096 hypothetical protein	MK637631_00077 hypothetical protein
OG0000119	Lymph_LDV3_KX643370_00009 hypothetical protein, Lymph_LDV3_KX643370_00017 hypothetical protein	MK637631_00058 hypothetical protein
OG0000133	Lymph_LDV3_KX643370_00041 Serine proteinase inhibitor 2	MK637631_00034 Serine proteinase inhibitor 1, MK637631_00063 Serine proteinase inhibitor 2
OG0000138	Lymph_LDV3_KX643370_00085 hypothetical protein, Lymph_LDV3_KX643370_00100 hypothetical protein, Lymph_LDV3_KX643370_00012 hypothetical protein	MK637631_00035 hypothetical protein
