Orthogroup	KX643370	AY521625
OG0000000	Lymph_LDV3_KX643370_00131 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	Lymph_LDV3_KX643370_00120 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	Lymph_LDV3_KX643370_00137 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	Lymph_LDV3_KX643370_00107 hypothetical protein	AY521625.1_00142 AY521625.1 - hypothetical protein translation
OG0000005	Lymph_LDV3_KX643370_00077 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000006	Lymph_LDV3_KX643370_00051 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000007	Lymph_LDV3_KX643370_00117 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000008	Lymph_LDV3_KX643370_00057 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000009	Lymph_LDV3_KX643370_00049 hypothetical protein	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	Lymph_LDV3_KX643370_00044 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	Lymph_LDV3_KX643370_00094 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	Lymph_LDV3_KX643370_00075 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	Lymph_LDV3_KX643370_00061 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	Lymph_LDV3_KX643370_00095 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	Lymph_LDV3_KX643370_00056 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	Lymph_LDV3_KX643370_00091 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000018	Lymph_LDV3_KX643370_00040 hypothetical protein	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000019	Lymph_LDV3_KX643370_00004 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000020	Lymph_LDV3_KX643370_00126 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000021	Lymph_LDV3_KX643370_00055 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000022	Lymph_LDV3_KX643370_00135 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000024	Lymph_LDV3_KX643370_00089 hypothetical protein	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000026	Lymph_LDV3_KX643370_00015 hypothetical protein	AY521625.1_00022 AY521625.1 - hypothetical protein translation
OG0000027	Lymph_LDV3_KX643370_00119 hypothetical protein	AY521625.1_00060 AY521625.1 - hypothetical protein translation
OG0000125	Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein	AY521625.1_00036 AY521625.1 - hypothetical protein translation
OG0000132	Lymph_LDV3_KX643370_00121 hypothetical protein	AY521625.1_00098 AY521625.1 - hypothetical protein translation
OG0000135	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000149	Lymph_LDV3_KX643370_00047 hypothetical protein	AY521625.1_00002 AY521625.1 - hypothetical protein translation
OG0000151	Lymph_LDV3_KX643370_00149 hypothetical protein	AY521625.1_00018 AY521625.1 - hypothetical protein translation
OG0000154	Lymph_LDV3_KX643370_00090 hypothetical protein	AY521625.1_00126 AY521625.1 - hypothetical protein translation
OG0000173	Lymph_LDV3_KX643370_00060 hypothetical protein	AY521625.1_00005 AY521625.1 - hypothetical protein translation
OG0000174	Lymph_LDV3_KX643370_00059 hypothetical protein	AY521625.1_00011 AY521625.1 - hypothetical protein translation
OG0000175	Lymph_LDV3_KX643370_00080 hypothetical protein	AY521625.1_00140 AY521625.1 - hypothetical protein translation
OG0000199	Lymph_LDV3_KX643370_00021 hypothetical protein	AY521625.1_00066 AY521625.1 - hypothetical protein translation
OG0000201	Lymph_LDV3_KX643370_00064 hypothetical protein, Lymph_LDV3_KX643370_00014 hypothetical protein, Lymph_LDV3_KX643370_00128 hypothetical protein	AY521625.1_00097 AY521625.1 - hypothetical protein translation
OG0000224	Lymph_LDV3_KX643370_00106 hypothetical protein	AY521625.1_00023 AY521625.1 - hypothetical protein translation
OG0000225	Lymph_LDV3_KX643370_00005 hypothetical protein	AY521625.1_00057 AY521625.1 - hypothetical protein translation
OG0000226	Lymph_LDV3_KX643370_00046 hypothetical protein	AY521625.1_00061 AY521625.1 - hypothetical protein translation
OG0000227	Lymph_LDV3_KX643370_00054 hypothetical protein	AY521625.1_00094 AY521625.1 - hypothetical protein translation
OG0000228	Lymph_LDV3_KX643370_00146 hypothetical protein	AY521625.1_00116 AY521625.1 - hypothetical protein translation
OG0000229	Lymph_LDV3_KX643370_00102 hypothetical protein	AY521625.1_00128 AY521625.1 - hypothetical protein translation
OG0000266	Lymph_LDV3_KX643370_00037 hypothetical protein	AY521625.1_00010 AY521625.1 - hypothetical protein translation
OG0000267	Lymph_LDV3_KX643370_00151 hypothetical protein	AY521625.1_00043 AY521625.1 - hypothetical protein translation
OG0000268	Lymph_LDV3_KX643370_00148 hypothetical protein	AY521625.1_00055 AY521625.1 - hypothetical protein translation
