Orthogroup	MW883595	BD143114
OG0000000	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein
OG0000001	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein
OG0000002	AF371960.1_00015 hypothetical protein	MK689686.1_00014 hypothetical protein
OG0000003	AF371960.1_00030 hypothetical protein	MK689686.1_00028 hypothetical protein
OG0000004	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein
OG0000005	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein
OG0000006	AF371960.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein
OG0000007	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein
OG0000008	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein
OG0000009	AF371960.1_00036 DNA-directed RNA polymerase subunit 2	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000010	AF371960.1_00057 hypothetical protein	MK689686.1_00056 hypothetical protein
OG0000011	AF371960.1_00064 hypothetical protein	MK689686.1_00062 hypothetical protein
OG0000012	AF371960.1_00088 hypothetical protein	MK689686.1_00084 hypothetical protein
OG0000013	AF371960.1_00092 hypothetical protein	MK689686.1_00088 hypothetical protein
OG0000014	AF371960.1_00107 hypothetical protein	MK689686.1_00105 hypothetical protein
OG0000015	AF371960.1_00121 hypothetical protein	MK689686.1_00120 hypothetical protein
OG0000016	AF371960.1_00122 hypothetical protein	MK689686.1_00121 hypothetical protein
OG0000017	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain
OG0000018	AF371960.1_00078 hypothetical protein	AF371960.1_00078 hypothetical protein
OG0000019	AF371960.1_00089 hypothetical protein	MK689686.1_00085 hypothetical protein
OG0000020	AF371960.1_00096 hypothetical protein	MK689686.1_00093 hypothetical protein
OG0000021	AF371960.1_00112 hypothetical protein	MK689686.1_00110 hypothetical protein
OG0000022	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein
OG0000023	AF371960.1_00113 hypothetical protein	MK689686.1_00112 hypothetical protein
