Orthogroup	MN803438	MN562489
OG0000000	MN803438.1_00124 hypothetical protein	OM037668.1_00035 hypothetical protein
OG0000001	MN803438.1_00101 hypothetical protein	OM037668.1_00056 hypothetical protein
OG0000002	MN803438.1_00113 hypothetical protein	SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein
OG0000003	MN803438.1_00106 hypothetical protein	SDDV_ORF038 Flap endonuclease
OG0000004	MN803438.1_00109 hypothetical protein	OM037668.1_00077 hypothetical protein
OG0000005	MN803438.1_00089 hypothetical protein	OM037668.1_00013 hypothetical protein
OG0000006	MN803438.1_00023 Major capsid protein	OM037668.1_00057 Major capsid protein
OG0000007	MN803438.1_00128 hypothetical protein	OM037668.1_00041 hypothetical protein
OG0000008	MN803438.1_00068 hypothetical protein	OM037668.1_00123 hypothetical protein
OG0000009	MN803438.1_00013 hypothetical protein	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000010	MN803438.1_00007 hypothetical protein	OM037668.1_00098 hypothetical protein
OG0000011	MN803438.1_00049 hypothetical protein	OM037668.1_00009 hypothetical protein
OG0000012	MN803438.1_00097 hypothetical protein	OM037668.1_00090 hypothetical protein
OG0000013	MN803438.1_00027 hypothetical protein	OM037668.1_00084 hypothetical protein
OG0000014	MN803438.1_00051 hypothetical protein	OM037668.1_00073 hypothetical protein
OG0000015	MN803438.1_00070 hypothetical protein	OM037668.1_00078 hypothetical protein
OG0000016	MN803438.1_00046 hypothetical protein	OM037668.1_00004 hypothetical protein
OG0000017	MN803438.1_00024 hypothetical protein	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000018	MN803438.1_00035 hypothetical protein	OM037668.1_00124 hypothetical protein
OG0000019	MN803438.1_00142 hypothetical protein	OM037668.1_00021 hypothetical protein
OG0000020	MN803438.1_00122 hypothetical protein	OM037668.1_00089 hypothetical protein
OG0000021	MN803438.1_00071 hypothetical protein	OM037668.1_00080 hypothetical protein
OG0000022	MN803438.1_00104 hypothetical protein	OM037668.1_00076 hypothetical protein
OG0000023	MN803438.1_00145 hypothetical protein	OM037668.1_00129 hypothetical protein
OG0000024	MN803438.1_00077 hypothetical protein	OM037668.1_00113 hypothetical protein
OG0000026	MN803438.1_00037 hypothetical protein	OM037668.1_00087 hypothetical protein
OG0000027	MN803438.1_00126 hypothetical protein	OM037668.1_00074 hypothetical protein
OG0000028	MN803438.1_00054 hypothetical protein	OM037668.1_00110 hypothetical protein
OG0000119	MN803438.1_00082 hypothetical protein	OM037668.1_00062 hypothetical protein
OG0000133	MN803438.1_00022 Serine proteinase inhibitor 2	OM037668.1_00015 Serine proteinase inhibitor 1, OM037668.1_00071 Serine proteinase inhibitor 2
OG0000137	MN803438.1_00005 Thymidylate synthase	OM037668.1_00068 Thymidylate synthase
OG0000138	MN803438.1_00096 hypothetical protein, MN803438.1_00011 hypothetical protein	OM037668.1_00036 hypothetical protein
OG0000149	MN803438.1_00010 hypothetical protein	OM037668.1_00001 hypothetical protein
OG0000203	MN803438.1_00130 hypothetical protein	OM037668.1_00088 hypothetical protein
