Orthogroup	MN803438	AY521625
OG0000000	MN803438.1_00124 hypothetical protein	AY521625.1_00091 AY521625.1 - hypothetical protein translation
OG0000001	MN803438.1_00101 hypothetical protein	AY521625.1_00077 AY521625.1 - hypothetical protein translation
OG0000002	MN803438.1_00113 hypothetical protein	AY521625.1_00130 AY521625.1 - hypothetical protein translation
OG0000003	MN803438.1_00106 hypothetical protein	AY521625.1_00085 AY521625.1 - hypothetical protein translation
OG0000004	MN803438.1_00109 hypothetical protein	AY521625.1_00142 AY521625.1 - hypothetical protein translation
OG0000005	MN803438.1_00089 hypothetical protein	AY521625.1_00054 AY521625.1 - hypothetical protein translation
OG0000006	MN803438.1_00023 Major capsid protein	AY521625.1_00064 AY521625.1 - Major capsid protein translation
OG0000007	MN803438.1_00128 hypothetical protein	AY521625.1_00110 AY521625.1 - hypothetical protein translation
OG0000008	MN803438.1_00068 hypothetical protein	AY521625.1_00074 AY521625.1 - hypothetical protein translation
OG0000009	MN803438.1_00013 hypothetical protein	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	MN803438.1_00007 hypothetical protein	AY521625.1_00048 AY521625.1 - hypothetical protein translation
OG0000011	MN803438.1_00049 hypothetical protein	AY521625.1_00053 AY521625.1 - hypothetical protein translation
OG0000012	MN803438.1_00097 hypothetical protein	AY521625.1_00086 AY521625.1 - hypothetical protein translation
OG0000013	MN803438.1_00027 hypothetical protein	AY521625.1_00016 AY521625.1 - hypothetical protein translation
OG0000014	MN803438.1_00051 hypothetical protein	AY521625.1_00047 AY521625.1 - hypothetical protein translation
OG0000015	MN803438.1_00070 hypothetical protein	AY521625.1_00115 AY521625.1 - hypothetical protein translation
OG0000016	MN803438.1_00046 hypothetical protein	AY521625.1_00035 AY521625.1 - hypothetical protein translation
OG0000017	MN803438.1_00024 hypothetical protein	AY521625.1_00042 AY521625.1 - hypothetical protein translation
OG0000018	MN803438.1_00035 hypothetical protein	AY521625.1_00059 AY521625.1 - hypothetical protein translation
OG0000019	MN803438.1_00142 hypothetical protein	AY521625.1_00051 AY521625.1 - hypothetical protein translation
OG0000020	MN803438.1_00122 hypothetical protein	AY521625.1_00073 AY521625.1 - hypothetical protein translation
OG0000021	MN803438.1_00071 hypothetical protein	AY521625.1_00100 AY521625.1 - hypothetical protein translation
OG0000022	MN803438.1_00104 hypothetical protein	AY521625.1_00069 AY521625.1 - hypothetical protein translation
OG0000024	MN803438.1_00077 hypothetical protein	AY521625.1_00062 AY521625.1 - hypothetical protein translation
OG0000026	MN803438.1_00037 hypothetical protein	AY521625.1_00022 AY521625.1 - hypothetical protein translation
OG0000027	MN803438.1_00126 hypothetical protein	AY521625.1_00060 AY521625.1 - hypothetical protein translation
OG0000125	MN803438.1_00112 hypothetical protein, MN803438.1_00021 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein	AY521625.1_00036 AY521625.1 - hypothetical protein translation
OG0000132	MN803438.1_00115 hypothetical protein	AY521625.1_00098 AY521625.1 - hypothetical protein translation
OG0000135	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000149	MN803438.1_00010 hypothetical protein	AY521625.1_00002 AY521625.1 - hypothetical protein translation
OG0000151	MN803438.1_00003 hypothetical protein	AY521625.1_00018 AY521625.1 - hypothetical protein translation
OG0000154	MN803438.1_00078 hypothetical protein	AY521625.1_00126 AY521625.1 - hypothetical protein translation
OG0000173	MN803438.1_00028 hypothetical protein	AY521625.1_00005 AY521625.1 - hypothetical protein translation
OG0000174	MN803438.1_00030 hypothetical protein	AY521625.1_00011 AY521625.1 - hypothetical protein translation
OG0000175	MN803438.1_00092 hypothetical protein	AY521625.1_00140 AY521625.1 - hypothetical protein translation
OG0000199	MN803438.1_00044 hypothetical protein	AY521625.1_00066 AY521625.1 - hypothetical protein translation
OG0000201	MN803438.1_00121 hypothetical protein	AY521625.1_00097 AY521625.1 - hypothetical protein translation
OG0000224	MN803438.1_00110 hypothetical protein	AY521625.1_00023 AY521625.1 - hypothetical protein translation
OG0000225	MN803438.1_00140 hypothetical protein	AY521625.1_00057 AY521625.1 - hypothetical protein translation
OG0000226	MN803438.1_00008 hypothetical protein	AY521625.1_00061 AY521625.1 - hypothetical protein translation
OG0000227	MN803438.1_00026 hypothetical protein	AY521625.1_00094 AY521625.1 - hypothetical protein translation
OG0000228	MN803438.1_00136 hypothetical protein	AY521625.1_00116 AY521625.1 - hypothetical protein translation
OG0000229	MN803438.1_00099 hypothetical protein	AY521625.1_00128 AY521625.1 - hypothetical protein translation
OG0000268	MN803438.1_00004 hypothetical protein	AY521625.1_00055 AY521625.1 - hypothetical protein translation
