Orthogroup	MN803438	MN432490
OG0000000	MN803438.1_00124 hypothetical protein	AF371960.1_00031 hypothetical protein
OG0000001	MN803438.1_00101 hypothetical protein	AF371960.1_00008 hypothetical protein
OG0000002	MN803438.1_00113 hypothetical protein	AF371960.1_00015 hypothetical protein
OG0000003	MN803438.1_00106 hypothetical protein	AF371960.1_00030 hypothetical protein
OG0000004	MN803438.1_00109 hypothetical protein	AF371960.1_00113 hypothetical protein
OG0000005	MN803438.1_00089 hypothetical protein	AF371960.1_00005 hypothetical protein
OG0000006	MN803438.1_00023 Major capsid protein	AF371960.1_00007 Major capsid protein
OG0000007	MN803438.1_00128 hypothetical protein	AF371960.1_00021 hypothetical protein
OG0000008	MN803438.1_00068 hypothetical protein	AF371960.1_00032 hypothetical protein
OG0000009	MN803438.1_00013 hypothetical protein	AF371960.1_00036 DNA-directed RNA polymerase subunit 2
OG0000010	MN803438.1_00007 hypothetical protein	AF371960.1_00057 hypothetical protein
OG0000011	MN803438.1_00049 hypothetical protein	AF371960.1_00064 hypothetical protein
OG0000012	MN803438.1_00097 hypothetical protein	AF371960.1_00088 hypothetical protein
OG0000013	MN803438.1_00027 hypothetical protein	AF371960.1_00092 hypothetical protein
OG0000014	MN803438.1_00051 hypothetical protein	AF371960.1_00107 hypothetical protein
OG0000015	MN803438.1_00070 hypothetical protein	AF371960.1_00121 hypothetical protein
OG0000016	MN803438.1_00046 hypothetical protein	AF371960.1_00122 hypothetical protein
OG0000017	MN803438.1_00024 hypothetical protein	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000018	MN803438.1_00035 hypothetical protein	AF371960.1_00034 hypothetical protein
OG0000019	MN803438.1_00142 hypothetical protein	AF371960.1_00078 hypothetical protein
OG0000020	MN803438.1_00122 hypothetical protein	AF371960.1_00089 hypothetical protein
OG0000021	MN803438.1_00071 hypothetical protein	AF371960.1_00096 hypothetical protein
OG0000022	MN803438.1_00104 hypothetical protein	AF371960.1_00112 hypothetical protein
OG0000023	MN803438.1_00145 hypothetical protein	AF371960.1_00006 hypothetical protein
OG0000024	MN803438.1_00077 hypothetical protein	AF371960.1_00045 hypothetical protein
OG0000026	MN803438.1_00037 hypothetical protein	AF371960.1_00090 hypothetical protein
OG0000027	MN803438.1_00126 hypothetical protein	AF371960.1_00110 hypothetical protein
OG0000028	MN803438.1_00054 hypothetical protein	AF371960.1_00048 hypothetical protein
OG0000119	MN803438.1_00082 hypothetical protein	AF371960.1_00074 hypothetical protein
